Episode	Accumulated Reward	Length	Steps
265	-104.0	104	40666
266	-105.0	105	40771
267	-134.0	134	40905
268	-105.0	105	41010
269	-107.0	107	41117
270	-105.0	105	41222
271	-134.0	134	41356
272	-187.0	187	41543
273	-110.0	110	41653
274	-106.0	106	41759
275	-173.0	173	41932
276	-138.0	138	42070
277	-110.0	110	42180
278	-105.0	105	42285
279	-136.0	136	42421
280	-134.0	134	42555
281	-132.0	132	42687
282	-156.0	156	42843
283	-166.0	166	43009
284	-116.0	116	43125
285	-132.0	132	43257
286	-106.0	106	43363
287	-123.0	123	43486
288	-108.0	108	43594
289	-107.0	107	43701
290	-107.0	107	43808
291	-208.0	208	44016
292	-109.0	109	44125
293	-109.0	109	44234
294	-134.0	134	44368
295	-136.0	136	44504
296	-105.0	105	44609
297	-104.0	104	44713
298	-138.0	138	44851
299	-137.0	137	44988
