Episode	Accumulated Reward	Length	Steps
0	-1.0	3	3
1	-1.0	1	4
2	-1.0	1	5
3	1.0	1	6
4	0.0	1	7
5	-1.0	1	8
6	1.0	1	9
7	0.0	1	10
8	-1.0	2	12
9	1.0	1	13
10	-1.0	1	14
11	1.0	4	18
12	-1.0	1	19
13	1.0	1	20
14	-1.0	1	21
15	1.0	1	22
16	1.0	2	24
17	1.0	2	26
18	1.0	1	27
19	1.0	3	30
20	1.0	1	31
21	-1.0	1	32
22	1.0	1	33
23	1.0	3	36
24	-1.0	2	38
25	-1.0	1	39
26	-1.0	2	41
27	1.0	2	43
28	1.0	3	46
29	1.0	1	47
30	-1.0	2	49
31	1.0	2	51
32	-1.0	2	53
33	-1.0	1	54
34	1.0	1	55
35	-1.0	3	58
36	-1.0	1	59
37	-1.0	1	60
38	-1.0	1	61
39	-1.0	3	64
40	0.0	2	66
41	1.0	2	68
42	-1.0	2	70
43	1.0	2	72
44	1.0	2	74
45	1.0	1	75
46	-1.0	2	77
47	-1.0	1	78
48	-1.0	1	79
49	1.0	1	80
50	1.0	3	83
51	1.0	2	85
52	-1.0	1	86
53	1.0	1	87
54	0.0	1	88
55	-1.0	3	91
56	1.0	3	94
57	1.0	3	97
58	1.0	2	99
59	-1.0	1	100
60	-1.0	3	103
61	-1.0	1	104
62	0.0	4	108
63	1.0	1	109
64	1.0	1	110
65	-1.0	2	112
66	-1.0	2	114
67	-1.0	1	115
68	-1.0	2	117
69	1.0	2	119
70	-1.0	2	121
71	-1.0	1	122
72	-1.0	2	124
73	-1.0	1	125
74	-1.0	1	126
75	-1.0	2	128
76	-1.0	1	129
77	-1.0	2	131
78	-1.0	1	132
79	-1.0	3	135
80	-1.0	2	137
81	1.0	1	138
82	1.0	2	140
83	0.0	2	142
84	-1.0	2	144
85	-1.0	2	146
86	1.0	2	148
87	-1.0	1	149
88	-1.0	2	151
89	1.0	2	153
90	-1.0	3	156
91	-1.0	4	160
92	-1.0	1	161
93	0.0	2	163
94	1.0	2	165
95	1.0	1	166
96	-1.0	3	169
97	-1.0	3	172
98	-1.0	1	173
99	1.0	2	175
100	-1.0	2	177
101	-1.0	1	178
102	1.0	2	180
103	-1.0	1	181
104	0.0	1	182
105	-1.0	1	183
106	-1.0	3	186
107	-1.0	1	187
108	-1.0	2	189
109	-1.0	2	191
110	-1.0	1	192
111	-1.0	2	194
112	0.0	1	195
113	1.0	3	198
114	1.0	1	199
115	-1.0	1	200
116	1.0	1	201
117	-1.0	2	203
118	-1.0	1	204
119	-1.0	1	205
120	0.0	5	210
121	0.0	1	211
122	1.0	2	213
123	1.0	3	216
124	-1.0	1	217
125	-1.0	1	218
126	-1.0	2	220
127	-1.0	1	221
128	-1.0	1	222
129	0.0	2	224
130	-1.0	1	225
131	-1.0	1	226
132	1.0	3	229
133	-1.0	1	230
134	-1.0	2	232
135	-1.0	1	233
