Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
131	-136.0	136	22921	131	-136.0	136	22921
132	-128.0	128	23049	132	-128.0	128	23049
133	-132.0	132	23181	133	-132.0	132	23181
134	-132.0	132	23313	134	-132.0	132	23313
135	-131.0	131	23444	135	-131.0	131	23444
136	-134.0	134	23578	136	-134.0	134	23578
137	-137.0	137	23715	137	-137.0	137	23715
138	-137.0	137	23852	138	-137.0	137	23852
139	-116.0	116	23968	139	-116.0	116	23968
140	-140.0	140	24108	140	-140.0	140	24108
141	-135.0	135	24243	141	-135.0	135	24243
142	-142.0	142	24385	142	-142.0	142	24385
143	-141.0	141	24526	143	-141.0	141	24526
144	-133.0	133	24659	144	-133.0	133	24659
145	-106.0	106	24765	145	-106.0	106	24765
146	-140.0	140	24905	146	-140.0	140	24905
147	-142.0	142	25047	147	-142.0	142	25047
148	-139.0	139	25186	148	-139.0	139	25186
149	-106.0	106	25292	149	-106.0	106	25292
150	-177.0	177	25469	150	-177.0	177	25469
151	-146.0	146	25615	151	-146.0	146	25615
152	-105.0	105	25720	152	-105.0	105	25720
153	-108.0	108	25828	153	-108.0	108	25828
154	-156.0	156	25984	154	-156.0	156	25984
155	-106.0	106	26090	155	-106.0	106	26090
156	-107.0	107	26197	156	-107.0	107	26197
157	-99.0	99	26296	157	-99.0	99	26296
158	-105.0	105	26401	158	-105.0	105	26401
159	-106.0	106	26507	159	-106.0	106	26507
160	-165.0	165	26672	160	-165.0	165	26672
161	-149.0	149	26821	161	-149.0	149	26821
162	-108.0	108	26929	162	-108.0	108	26929
163	-111.0	111	27040	163	-111.0	111	27040
164	-114.0	114	27154	164	-114.0	114	27154
165	-106.0	106	27260	165	-106.0	106	27260
166	-151.0	151	27411	166	-151.0	151	27411
167	-140.0	140	27551	167	-140.0	140	27551
168	-106.0	106	27657	168	-106.0	106	27657
169	-151.0	151	27808	169	-151.0	151	27808
170	-135.0	135	27943	170	-135.0	135	27943
171	-164.0	164	28107	171	-164.0	164	28107
172	-132.0	132	28239	172	-132.0	132	28239
173	-123.0	123	28362	173	-123.0	123	28362
174	-105.0	105	28467	174	-105.0	105	28467
175	-106.0	106	28573	175	-106.0	106	28573
176	-135.0	135	28708	176	-135.0	135	28708
177	-136.0	136	28844	177	-136.0	136	28844
178	-134.0	134	28978	178	-134.0	134	28978
179	-135.0	135	29113	179	-135.0	135	29113
180	-113.0	113	29226	180	-113.0	113	29226
181	-107.0	107	29333	181	-107.0	107	29333
182	-137.0	137	29470	182	-137.0	137	29470
183	-111.0	111	29581	183	-111.0	111	29581
184	-146.0	146	29727	184	-146.0	146	29727
185	-137.0	137	29864	185	-137.0	137	29864
186	-106.0	106	29970	186	-106.0	106	29970
187	-137.0	137	30107	187	-137.0	137	30107
188	-138.0	138	30245	188	-138.0	138	30245
189	-137.0	137	30382	189	-137.0	137	30382
190	-106.0	106	30488	190	-106.0	106	30488
191	-135.0	135	30623	191	-135.0	135	30623
192	-136.0	136	30759	192	-136.0	136	30759
193	-135.0	135	30894	193	-135.0	135	30894
194	-153.0	153	31047	194	-153.0	153	31047
195	-139.0	139	31186	195	-139.0	139	31186
196	-139.0	139	31325	196	-139.0	139	31325
197	-105.0	105	31430	197	-105.0	105	31430
198	-105.0	105	31535	198	-105.0	105	31535
199	-140.0	140	31675	199	-140.0	140	31675
200	-104.0	104	31779	200	-104.0	104	31779
201	-151.0	151	31930	201	-151.0	151	31930
202	-138.0	138	32068	202	-138.0	138	32068
203	-142.0	142	32210	203	-142.0	142	32210
204	-140.0	140	32350	204	-140.0	140	32350
205	-174.0	174	32524	205	-174.0	174	32524
206	-141.0	141	32665	206	-141.0	141	32665
207	-110.0	110	32775	207	-110.0	110	32775
208	-111.0	111	32886	208	-111.0	111	32886
209	-140.0	140	33026	209	-140.0	140	33026
210	-118.0	118	33144	210	-118.0	118	33144
211	-135.0	135	33279	211	-135.0	135	33279
212	-111.0	111	33390	212	-111.0	111	33390
213	-114.0	114	33504	213	-114.0	114	33504
214	-134.0	134	33638	214	-134.0	134	33638
215	-134.0	134	33772	215	-134.0	134	33772
216	-153.0	153	33925	216	-153.0	153	33925
217	-217.0	217	34142	217	-217.0	217	34142
218	-190.0	190	34332	218	-190.0	190	34332
219	-183.0	183	34515	219	-183.0	183	34515
220	-167.0	167	34682	220	-167.0	167	34682
221	-234.0	234	34916	221	-234.0	234	34916
222	-133.0	133	35049	222	-133.0	133	35049
223	-133.0	133	35182	223	-133.0	133	35182
224	-133.0	133	35315	224	-133.0	133	35315
225	-133.0	133	35448	225	-133.0	133	35448
226	-132.0	132	35580	226	-132.0	132	35580
227	-127.0	127	35707	227	-127.0	127	35707
228	-127.0	127	35834	228	-127.0	127	35834
229	-133.0	133	35967	229	-133.0	133	35967
230	-135.0	135	36102	230	-135.0	135	36102
231	-133.0	133	36235	231	-133.0	133	36235
232	-130.0	130	36365	232	-130.0	130	36365
233	-135.0	135	36500	233	-135.0	135	36500
234	-165.0	165	36665	234	-165.0	165	36665
235	-155.0	155	36820	235	-155.0	155	36820
236	-136.0	136	36956	236	-136.0	136	36956
237	-135.0	135	37091	237	-135.0	135	37091
238	-139.0	139	37230	238	-139.0	139	37230
239	-136.0	136	37366	239	-136.0	136	37366
240	-134.0	134	37500	240	-134.0	134	37500
241	-137.0	137	37637	241	-137.0	137	37637
242	-134.0	134	37771	242	-134.0	134	37771
243	-137.0	137	37908	243	-137.0	137	37908
244	-122.0	122	38030	244	-122.0	122	38030
245	-148.0	148	38178	245	-148.0	148	38178
246	-147.0	147	38325	246	-147.0	147	38325
247	-140.0	140	38465	247	-140.0	140	38465
248	-153.0	153	38618	248	-153.0	153	38618
249	-136.0	136	38754	249	-136.0	136	38754
250	-143.0	143	38897	250	-143.0	143	38897
251	-136.0	136	39033	251	-136.0	136	39033
252	-136.0	136	39169	252	-136.0	136	39169
253	-183.0	183	39352	253	-183.0	183	39352
254	-135.0	135	39487	254	-135.0	135	39487
255	-136.0	136	39623	255	-136.0	136	39623
256	-184.0	184	39807	256	-184.0	184	39807
257	-137.0	137	39944	257	-137.0	137	39944
258	-136.0	136	40080	258	-136.0	136	40080
259	-135.0	135	40215	259	-135.0	135	40215
260	-136.0	136	40351	260	-136.0	136	40351
261	-138.0	138	40489	261	-138.0	138	40489
262	-136.0	136	40625	262	-136.0	136	40625
263	-109.0	109	40734	263	-109.0	109	40734
