Episode	Accumulated Reward	Length	Steps
0	1.0	5	5
1	1.0	3	8
2	-1.0	1	9
3	-1.0	2	11
4	-1.0	3	14
5	0.0	2	16
6	-1.0	2	18
7	-1.0	1	19
8	1.0	2	21
9	-1.0	1	22
10	-1.0	3	25
11	-1.0	1	26
12	-1.0	3	29
13	-1.0	1	30
14	-1.0	3	33
15	-1.0	2	35
16	-1.0	2	37
17	-1.0	2	39
18	-1.0	1	40
19	1.0	1	41
20	-1.0	1	42
21	-1.0	1	43
22	-1.0	1	44
23	-1.0	2	46
24	0.0	3	49
25	1.0	1	50
26	-1.0	4	54
27	-1.0	1	55
28	1.0	1	56
29	-1.0	2	58
30	0.0	1	59
31	-1.0	2	61
32	-1.0	1	62
33	-1.0	1	63
34	-1.0	2	65
35	-1.0	2	67
36	-1.0	1	68
37	1.0	2	70
38	1.0	2	72
39	1.0	1	73
40	-1.0	1	74
41	-1.0	1	75
42	-1.0	4	79
43	-1.0	3	82
44	-1.0	1	83
45	1.0	2	85
46	1.0	1	86
47	-1.0	2	88
48	1.0	2	90
49	-1.0	2	92
50	-1.0	2	94
51	-1.0	1	95
52	1.0	1	96
53	-1.0	2	98
54	0.0	1	99
55	1.0	1	100
56	-1.0	3	103
57	-1.0	3	106
58	-1.0	1	107
59	-1.0	2	109
60	0.0	1	110
61	1.0	1	111
62	1.0	4	115
63	1.0	4	119
64	-1.0	1	120
65	-1.0	2	122
66	-1.0	1	123
67	-1.0	1	124
68	-1.0	1	125
69	-1.0	2	127
70	-1.0	1	128
71	-1.0	2	130
72	-1.0	1	131
73	1.0	1	132
74	-1.0	2	134
75	-1.0	1	135
76	-1.0	2	137
77	-1.0	2	139
78	-1.0	2	141
79	1.0	1	142
80	1.0	1	143
81	-1.0	2	145
82	1.0	1	146
83	0.0	1	147
84	1.0	1	148
85	1.0	3	151
86	-1.0	1	152
87	1.0	3	155
88	-1.0	1	156
89	1.0	2	158
90	-1.0	3	161
91	-1.0	1	162
92	-1.0	1	163
93	1.0	1	164
94	-1.0	1	165
95	1.0	3	168
96	-1.0	1	169
97	-1.0	4	173
98	0.0	3	176
99	1.0	1	177
100	-1.0	1	178
101	0.0	4	182
102	-1.0	3	185
103	-1.0	3	188
104	-1.0	1	189
105	1.0	1	190
106	-1.0	2	192
107	1.0	1	193
108	-1.0	2	195
109	-1.0	1	196
110	1.0	3	199
111	-1.0	2	201
112	-1.0	2	203
113	1.0	2	205
114	-1.0	2	207
115	-1.0	2	209
116	0.0	3	212
