Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
18	-13	13	320	18	-13	13	320	18	-13	13	320	18	-13	13	320	18	-13	13	320	18	-13	13	320	18	-13	13	320	18	-13	13	320	18	-13	13	320	18	-13	13	320	18	-13	13	320	18	-13	13	320	18	-13	13	320	18	-13	13	320	18	-13	13	320	18	-13	13	320	18	-13	13	320
19	-15	15	335	19	-15	15	335	19	-15	15	335	19	-15	15	335	19	-15	15	335	19	-15	15	335	19	-15	15	335	19	-15	15	335	19	-15	15	335	19	-15	15	335	19	-15	15	335	19	-15	15	335	19	-15	15	335	19	-15	15	335	19	-15	15	335	19	-15	15	335	19	-15	15	335
20	-13	13	348	20	-13	13	348	20	-13	13	348	20	-13	13	348	20	-13	13	348	20	-13	13	348	20	-13	13	348	20	-13	13	348	20	-13	13	348	20	-13	13	348	20	-13	13	348	20	-13	13	348	20	-13	13	348	20	-13	13	348	20	-13	13	348	20	-13	13	348	20	-13	13	348
21	-13	13	361	21	-13	13	361	21	-13	13	361	21	-13	13	361	21	-13	13	361	21	-13	13	361	21	-13	13	361	21	-13	13	361	21	-13	13	361	21	-13	13	361	21	-13	13	361	21	-13	13	361	21	-13	13	361	21	-13	13	361	21	-13	13	361	21	-13	13	361	21	-13	13	361
22	-15	15	376	22	-15	15	376	22	-15	15	376	22	-15	15	376	22	-15	15	376	22	-15	15	376	22	-15	15	376	22	-15	15	376	22	-15	15	376	22	-15	15	376	22	-15	15	376	22	-15	15	376	22	-15	15	376	22	-15	15	376	22	-15	15	376	22	-15	15	376	22	-15	15	376
23	-13	13	389	23	-13	13	389	23	-13	13	389	23	-13	13	389	23	-13	13	389	23	-13	13	389	23	-13	13	389	23	-13	13	389	23	-13	13	389	23	-13	13	389	23	-13	13	389	23	-13	13	389	23	-13	13	389	23	-13	13	389	23	-13	13	389	23	-13	13	389	23	-13	13	389
24	-13	13	402	24	-13	13	402	24	-13	13	402	24	-13	13	402	24	-13	13	402	24	-13	13	402	24	-13	13	402	24	-13	13	402	24	-13	13	402	24	-13	13	402	24	-13	13	402	24	-13	13	402	24	-13	13	402	24	-13	13	402	24	-13	13	402	24	-13	13	402	24	-13	13	402
25	-13	13	415	25	-13	13	415	25	-13	13	415	25	-13	13	415	25	-13	13	415	25	-13	13	415	25	-13	13	415	25	-13	13	415	25	-13	13	415	25	-13	13	415	25	-13	13	415	25	-13	13	415	25	-13	13	415	25	-13	13	415	25	-13	13	415	25	-13	13	415	25	-13	13	415
26	-25	25	440	26	-25	25	440	26	-25	25	440	26	-25	25	440	26	-25	25	440	26	-25	25	440	26	-25	25	440	26	-25	25	440	26	-25	25	440	26	-25	25	440	26	-25	25	440	26	-25	25	440	26	-25	25	440	26	-25	25	440	26	-25	25	440	26	-25	25	440	26	-25	25	440
27	-13	13	453	27	-13	13	453	27	-13	13	453	27	-13	13	453	27	-13	13	453	27	-13	13	453	27	-13	13	453	27	-13	13	453	27	-13	13	453	27	-13	13	453	27	-13	13	453	27	-13	13	453	27	-13	13	453	27	-13	13	453	27	-13	13	453	27	-13	13	453	27	-13	13	453
28	-18	18	471	28	-18	18	471	28	-18	18	471	28	-18	18	471	28	-18	18	471	28	-18	18	471	28	-18	18	471	28	-18	18	471	28	-18	18	471	28	-18	18	471	28	-18	18	471	28	-18	18	471	28	-18	18	471	28	-18	18	471	28	-18	18	471	28	-18	18	471	28	-18	18	471
29	-127	28	499	29	-127	28	499	29	-127	28	499	29	-127	28	499	29	-127	28	499	29	-127	28	499	29	-127	28	499	29	-127	28	499	29	-127	28	499	29	-127	28	499	29	-127	28	499	29	-127	28	499	29	-127	28	499	29	-127	28	499	29	-127	28	499	29	-127	28	499	29	-127	28	499
30	-19	19	518	30	-19	19	518	30	-19	19	518	30	-19	19	518	30	-19	19	518	30	-19	19	518	30	-19	19	518	30	-19	19	518	30	-19	19	518	30	-19	19	518	30	-19	19	518	30	-19	19	518	30	-19	19	518	30	-19	19	518	30	-19	19	518	30	-19	19	518	30	-19	19	518
