Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
78	-17	17	1275	78	-17	17	1275	78	-17	17	1275	78	-17	17	1275	78	-17	17	1275	78	-17	17	1275	78	-17	17	1275	78	-17	17	1275	78	-17	17	1275	78	-17	17	1275	78	-17	17	1275	78	-17	17	1275	78	-17	17	1275	78	-17	17	1275	78	-17	17	1275	78	-17	17	1275	78	-17	17	1275
79	-113	14	1289	79	-113	14	1289	79	-113	14	1289	79	-113	14	1289	79	-113	14	1289	79	-113	14	1289	79	-113	14	1289	79	-113	14	1289	79	-113	14	1289	79	-113	14	1289	79	-113	14	1289	79	-113	14	1289	79	-113	14	1289	79	-113	14	1289	79	-113	14	1289	79	-113	14	1289	79	-113	14	1289
80	-13	13	1302	80	-13	13	1302	80	-13	13	1302	80	-13	13	1302	80	-13	13	1302	80	-13	13	1302	80	-13	13	1302	80	-13	13	1302	80	-13	13	1302	80	-13	13	1302	80	-13	13	1302	80	-13	13	1302	80	-13	13	1302	80	-13	13	1302	80	-13	13	1302	80	-13	13	1302	80	-13	13	1302
81	-15	15	1317	81	-15	15	1317	81	-15	15	1317	81	-15	15	1317	81	-15	15	1317	81	-15	15	1317	81	-15	15	1317	81	-15	15	1317	81	-15	15	1317	81	-15	15	1317	81	-15	15	1317	81	-15	15	1317	81	-15	15	1317	81	-15	15	1317	81	-15	15	1317	81	-15	15	1317	81	-15	15	1317
82	-13	13	1330	82	-13	13	1330	82	-13	13	1330	82	-13	13	1330	82	-13	13	1330	82	-13	13	1330	82	-13	13	1330	82	-13	13	1330	82	-13	13	1330	82	-13	13	1330	82	-13	13	1330	82	-13	13	1330	82	-13	13	1330	82	-13	13	1330	82	-13	13	1330	82	-13	13	1330	82	-13	13	1330
83	-14	14	1344	83	-14	14	1344	83	-14	14	1344	83	-14	14	1344	83	-14	14	1344	83	-14	14	1344	83	-14	14	1344	83	-14	14	1344	83	-14	14	1344	83	-14	14	1344	83	-14	14	1344	83	-14	14	1344	83	-14	14	1344	83	-14	14	1344	83	-14	14	1344	83	-14	14	1344	83	-14	14	1344
84	-13	13	1357	84	-13	13	1357	84	-13	13	1357	84	-13	13	1357	84	-13	13	1357	84	-13	13	1357	84	-13	13	1357	84	-13	13	1357	84	-13	13	1357	84	-13	13	1357	84	-13	13	1357	84	-13	13	1357	84	-13	13	1357	84	-13	13	1357	84	-13	13	1357	84	-13	13	1357	84	-13	13	1357
85	-13	13	1370	85	-13	13	1370	85	-13	13	1370	85	-13	13	1370	85	-13	13	1370	85	-13	13	1370	85	-13	13	1370	85	-13	13	1370	85	-13	13	1370	85	-13	13	1370	85	-13	13	1370	85	-13	13	1370	85	-13	13	1370	85	-13	13	1370	85	-13	13	1370	85	-13	13	1370	85	-13	13	1370
86	-17	17	1387	86	-17	17	1387	86	-17	17	1387	86	-17	17	1387	86	-17	17	1387	86	-17	17	1387	86	-17	17	1387	86	-17	17	1387	86	-17	17	1387	86	-17	17	1387	86	-17	17	1387	86	-17	17	1387	86	-17	17	1387	86	-17	17	1387	86	-17	17	1387	86	-17	17	1387	86	-17	17	1387
87	-13	13	1400	87	-13	13	1400	87	-13	13	1400	87	-13	13	1400	87	-13	13	1400	87	-13	13	1400	87	-13	13	1400	87	-13	13	1400	87	-13	13	1400	87	-13	13	1400	87	-13	13	1400	87	-13	13	1400	87	-13	13	1400	87	-13	13	1400	87	-13	13	1400	87	-13	13	1400	87	-13	13	1400
88	-13	13	1413	88	-13	13	1413	88	-13	13	1413	88	-13	13	1413	88	-13	13	1413	88	-13	13	1413	88	-13	13	1413	88	-13	13	1413	88	-13	13	1413	88	-13	13	1413	88	-13	13	1413	88	-13	13	1413	88	-13	13	1413	88	-13	13	1413	88	-13	13	1413	88	-13	13	1413	88	-13	13	1413
89	-13	13	1426	89	-13	13	1426	89	-13	13	1426	89	-13	13	1426	89	-13	13	1426	89	-13	13	1426	89	-13	13	1426	89	-13	13	1426	89	-13	13	1426	89	-13	13	1426	89	-13	13	1426	89	-13	13	1426	89	-13	13	1426	89	-13	13	1426	89	-13	13	1426	89	-13	13	1426	89	-13	13	1426
90	-13	13	1439	90	-13	13	1439	90	-13	13	1439	90	-13	13	1439	90	-13	13	1439	90	-13	13	1439	90	-13	13	1439	90	-13	13	1439	90	-13	13	1439	90	-13	13	1439	90	-13	13	1439	90	-13	13	1439	90	-13	13	1439	90	-13	13	1439	90	-13	13	1439	90	-13	13	1439	90	-13	13	1439
91	-13	13	1452	91	-13	13	1452	91	-13	13	1452	91	-13	13	1452	91	-13	13	1452	91	-13	13	1452	91	-13	13	1452	91	-13	13	1452	91	-13	13	1452	91	-13	13	1452	91	-13	13	1452	91	-13	13	1452	91	-13	13	1452	91	-13	13	1452	91	-13	13	1452	91	-13	13	1452	91	-13	13	1452
92	-113	14	1466	92	-113	14	1466	92	-113	14	1466	92	-113	14	1466	92	-113	14	1466	92	-113	14	1466	92	-113	14	1466	92	-113	14	1466	92	-113	14	1466	92	-113	14	1466	92	-113	14	1466	92	-113	14	1466	92	-113	14	1466	92	-113	14	1466	92	-113	14	1466	92	-113	14	1466	92	-113	14	1466
93	-14	14	1480	93	-14	14	1480	93	-14	14	1480	93	-14	14	1480	93	-14	14	1480	93	-14	14	1480	93	-14	14	1480	93	-14	14	1480	93	-14	14	1480	93	-14	14	1480	93	-14	14	1480	93	-14	14	1480	93	-14	14	1480	93	-14	14	1480	93	-14	14	1480	93	-14	14	1480	93	-14	14	1480
94	-15	15	1495	94	-15	15	1495	94	-15	15	1495	94	-15	15	1495	94	-15	15	1495	94	-15	15	1495	94	-15	15	1495	94	-15	15	1495	94	-15	15	1495	94	-15	15	1495	94	-15	15	1495	94	-15	15	1495	94	-15	15	1495	94	-15	15	1495	94	-15	15	1495	94	-15	15	1495	94	-15	15	1495
95	-13	13	1508	95	-13	13	1508	95	-13	13	1508	95	-13	13	1508	95	-13	13	1508	95	-13	13	1508	95	-13	13	1508	95	-13	13	1508	95	-13	13	1508	95	-13	13	1508	95	-13	13	1508	95	-13	13	1508	95	-13	13	1508	95	-13	13	1508	95	-13	13	1508	95	-13	13	1508	95	-13	13	1508
96	-13	13	1521	96	-13	13	1521	96	-13	13	1521	96	-13	13	1521	96	-13	13	1521	96	-13	13	1521	96	-13	13	1521	96	-13	13	1521	96	-13	13	1521	96	-13	13	1521	96	-13	13	1521	96	-13	13	1521	96	-13	13	1521	96	-13	13	1521	96	-13	13	1521	96	-13	13	1521	96	-13	13	1521
97	-339	42	1563	97	-339	42	1563	97	-339	42	1563	97	-339	42	1563	97	-339	42	1563	97	-339	42	1563	97	-339	42	1563	97	-339	42	1563	97	-339	42	1563	97	-339	42	1563	97	-339	42	1563	97	-339	42	1563	97	-339	42	1563	97	-339	42	1563	97	-339	42	1563	97	-339	42	1563	97	-339	42	1563
98	-15	15	1578	98	-15	15	1578	98	-15	15	1578	98	-15	15	1578	98	-15	15	1578	98	-15	15	1578	98	-15	15	1578	98	-15	15	1578	98	-15	15	1578	98	-15	15	1578	98	-15	15	1578	98	-15	15	1578	98	-15	15	1578	98	-15	15	1578	98	-15	15	1578	98	-15	15	1578	98	-15	15	1578
99	-14	14	1592	99	-14	14	1592	99	-14	14	1592	99	-14	14	1592	99	-14	14	1592	99	-14	14	1592	99	-14	14	1592	99	-14	14	1592	99	-14	14	1592	99	-14	14	1592	99	-14	14	1592	99	-14	14	1592	99	-14	14	1592	99	-14	14	1592	99	-14	14	1592	99	-14	14	1592	99	-14	14	1592
100	-15	15	1607	100	-15	15	1607	100	-15	15	1607	100	-15	15	1607	100	-15	15	1607	100	-15	15	1607	100	-15	15	1607	100	-15	15	1607	100	-15	15	1607	100	-15	15	1607	100	-15	15	1607	100	-15	15	1607	100	-15	15	1607	100	-15	15	1607	100	-15	15	1607	100	-15	15	1607	100	-15	15	1607
101	-13	13	1620	101	-13	13	1620	101	-13	13	1620	101	-13	13	1620	101	-13	13	1620	101	-13	13	1620	101	-13	13	1620	101	-13	13	1620	101	-13	13	1620	101	-13	13	1620	101	-13	13	1620	101	-13	13	1620	101	-13	13	1620	101	-13	13	1620	101	-13	13	1620	101	-13	13	1620	101	-13	13	1620
102	-15	15	1635	102	-15	15	1635	102	-15	15	1635	102	-15	15	1635	102	-15	15	1635	102	-15	15	1635	102	-15	15	1635	102	-15	15	1635	102	-15	15	1635	102	-15	15	1635	102	-15	15	1635	102	-15	15	1635	102	-15	15	1635	102	-15	15	1635	102	-15	15	1635	102	-15	15	1635	102	-15	15	1635
103	-13	13	1648	103	-13	13	1648	103	-13	13	1648	103	-13	13	1648	103	-13	13	1648	103	-13	13	1648	103	-13	13	1648	103	-13	13	1648	103	-13	13	1648	103	-13	13	1648	103	-13	13	1648	103	-13	13	1648	103	-13	13	1648	103	-13	13	1648	103	-13	13	1648	103	-13	13	1648	103	-13	13	1648
104	-17	17	1665	104	-17	17	1665	104	-17	17	1665	104	-17	17	1665	104	-17	17	1665	104	-17	17	1665	104	-17	17	1665	104	-17	17	1665	104	-17	17	1665	104	-17	17	1665	104	-17	17	1665	104	-17	17	1665	104	-17	17	1665	104	-17	17	1665	104	-17	17	1665	104	-17	17	1665	104	-17	17	1665
105	-13	13	1678	105	-13	13	1678	105	-13	13	1678	105	-13	13	1678	105	-13	13	1678	105	-13	13	1678	105	-13	13	1678	105	-13	13	1678	105	-13	13	1678	105	-13	13	1678	105	-13	13	1678	105	-13	13	1678	105	-13	13	1678	105	-13	13	1678	105	-13	13	1678	105	-13	13	1678	105	-13	13	1678
106	-13	13	1691	106	-13	13	1691	106	-13	13	1691	106	-13	13	1691	106	-13	13	1691	106	-13	13	1691	106	-13	13	1691	106	-13	13	1691	106	-13	13	1691	106	-13	13	1691	106	-13	13	1691	106	-13	13	1691	106	-13	13	1691	106	-13	13	1691	106	-13	13	1691	106	-13	13	1691	106	-13	13	1691
107	-18	18	1709	107	-18	18	1709	107	-18	18	1709	107	-18	18	1709	107	-18	18	1709	107	-18	18	1709	107	-18	18	1709	107	-18	18	1709	107	-18	18	1709	107	-18	18	1709	107	-18	18	1709	107	-18	18	1709	107	-18	18	1709	107	-18	18	1709	107	-18	18	1709	107	-18	18	1709	107	-18	18	1709
108	-15	15	1724	108	-15	15	1724	108	-15	15	1724	108	-15	15	1724	108	-15	15	1724	108	-15	15	1724	108	-15	15	1724	108	-15	15	1724	108	-15	15	1724	108	-15	15	1724	108	-15	15	1724	108	-15	15	1724	108	-15	15	1724	108	-15	15	1724	108	-15	15	1724	108	-15	15	1724	108	-15	15	1724
109	-17	17	1741	109	-17	17	1741	109	-17	17	1741	109	-17	17	1741	109	-17	17	1741	109	-17	17	1741	109	-17	17	1741	109	-17	17	1741	109	-17	17	1741	109	-17	17	1741	109	-17	17	1741	109	-17	17	1741	109	-17	17	1741	109	-17	17	1741	109	-17	17	1741	109	-17	17	1741	109	-17	17	1741
110	-15	15	1756	110	-15	15	1756	110	-15	15	1756	110	-15	15	1756	110	-15	15	1756	110	-15	15	1756	110	-15	15	1756	110	-15	15	1756	110	-15	15	1756	110	-15	15	1756	110	-15	15	1756	110	-15	15	1756	110	-15	15	1756	110	-15	15	1756	110	-15	15	1756	110	-15	15	1756	110	-15	15	1756
111	-15	15	1771	111	-15	15	1771	111	-15	15	1771	111	-15	15	1771	111	-15	15	1771	111	-15	15	1771	111	-15	15	1771	111	-15	15	1771	111	-15	15	1771	111	-15	15	1771	111	-15	15	1771	111	-15	15	1771	111	-15	15	1771	111	-15	15	1771	111	-15	15	1771	111	-15	15	1771	111	-15	15	1771
112	-13	13	1784	112	-13	13	1784	112	-13	13	1784	112	-13	13	1784	112	-13	13	1784	112	-13	13	1784	112	-13	13	1784	112	-13	13	1784	112	-13	13	1784	112	-13	13	1784	112	-13	13	1784	112	-13	13	1784	112	-13	13	1784	112	-13	13	1784	112	-13	13	1784	112	-13	13	1784	112	-13	13	1784
113	-13	13	1797	113	-13	13	1797	113	-13	13	1797	113	-13	13	1797	113	-13	13	1797	113	-13	13	1797	113	-13	13	1797	113	-13	13	1797	113	-13	13	1797	113	-13	13	1797	113	-13	13	1797	113	-13	13	1797	113	-13	13	1797	113	-13	13	1797	113	-13	13	1797	113	-13	13	1797	113	-13	13	1797
114	-15	15	1812	114	-15	15	1812	114	-15	15	1812	114	-15	15	1812	114	-15	15	1812	114	-15	15	1812	114	-15	15	1812	114	-15	15	1812	114	-15	15	1812	114	-15	15	1812	114	-15	15	1812	114	-15	15	1812	114	-15	15	1812	114	-15	15	1812	114	-15	15	1812	114	-15	15	1812	114	-15	15	1812
115	-15	15	1827	115	-15	15	1827	115	-15	15	1827	115	-15	15	1827	115	-15	15	1827	115	-15	15	1827	115	-15	15	1827	115	-15	15	1827	115	-15	15	1827	115	-15	15	1827	115	-15	15	1827	115	-15	15	1827	115	-15	15	1827	115	-15	15	1827	115	-15	15	1827	115	-15	15	1827	115	-15	15	1827
116	-13	13	1840	116	-13	13	1840	116	-13	13	1840	116	-13	13	1840	116	-13	13	1840	116	-13	13	1840	116	-13	13	1840	116	-13	13	1840	116	-13	13	1840	116	-13	13	1840	116	-13	13	1840	116	-13	13	1840	116	-13	13	1840	116	-13	13	1840	116	-13	13	1840	116	-13	13	1840	116	-13	13	1840
117	-13	13	1853	117	-13	13	1853	117	-13	13	1853	117	-13	13	1853	117	-13	13	1853	117	-13	13	1853	117	-13	13	1853	117	-13	13	1853	117	-13	13	1853	117	-13	13	1853	117	-13	13	1853	117	-13	13	1853	117	-13	13	1853	117	-13	13	1853	117	-13	13	1853	117	-13	13	1853	117	-13	13	1853
118	-13	13	1866	118	-13	13	1866	118	-13	13	1866	118	-13	13	1866	118	-13	13	1866	118	-13	13	1866	118	-13	13	1866	118	-13	13	1866	118	-13	13	1866	118	-13	13	1866	118	-13	13	1866	118	-13	13	1866	118	-13	13	1866	118	-13	13	1866	118	-13	13	1866	118	-13	13	1866	118	-13	13	1866
119	-13	13	1879	119	-13	13	1879	119	-13	13	1879	119	-13	13	1879	119	-13	13	1879	119	-13	13	1879	119	-13	13	1879	119	-13	13	1879	119	-13	13	1879	119	-13	13	1879	119	-13	13	1879	119	-13	13	1879	119	-13	13	1879	119	-13	13	1879	119	-13	13	1879	119	-13	13	1879	119	-13	13	1879
120	-17	17	1896	120	-17	17	1896	120	-17	17	1896	120	-17	17	1896	120	-17	17	1896	120	-17	17	1896	120	-17	17	1896	120	-17	17	1896	120	-17	17	1896	120	-17	17	1896	120	-17	17	1896	120	-17	17	1896	120	-17	17	1896	120	-17	17	1896	120	-17	17	1896	120	-17	17	1896	120	-17	17	1896
121	-13	13	1909	121	-13	13	1909	121	-13	13	1909	121	-13	13	1909	121	-13	13	1909	121	-13	13	1909	121	-13	13	1909	121	-13	13	1909	121	-13	13	1909	121	-13	13	1909	121	-13	13	1909	121	-13	13	1909	121	-13	13	1909	121	-13	13	1909	121	-13	13	1909	121	-13	13	1909	121	-13	13	1909
122	-13	13	1922	122	-13	13	1922	122	-13	13	1922	122	-13	13	1922	122	-13	13	1922	122	-13	13	1922	122	-13	13	1922	122	-13	13	1922	122	-13	13	1922	122	-13	13	1922	122	-13	13	1922	122	-13	13	1922	122	-13	13	1922	122	-13	13	1922	122	-13	13	1922	122	-13	13	1922	122	-13	13	1922
123	-17	17	1939	123	-17	17	1939	123	-17	17	1939	123	-17	17	1939	123	-17	17	1939	123	-17	17	1939	123	-17	17	1939	123	-17	17	1939	123	-17	17	1939	123	-17	17	1939	123	-17	17	1939	123	-17	17	1939	123	-17	17	1939	123	-17	17	1939	123	-17	17	1939	123	-17	17	1939	123	-17	17	1939
124	-15	15	1954	124	-15	15	1954	124	-15	15	1954	124	-15	15	1954	124	-15	15	1954	124	-15	15	1954	124	-15	15	1954	124	-15	15	1954	124	-15	15	1954	124	-15	15	1954	124	-15	15	1954	124	-15	15	1954	124	-15	15	1954	124	-15	15	1954	124	-15	15	1954	124	-15	15	1954	124	-15	15	1954
125	-122	23	1977	125	-122	23	1977	125	-122	23	1977	125	-122	23	1977	125	-122	23	1977	125	-122	23	1977	125	-122	23	1977	125	-122	23	1977	125	-122	23	1977	125	-122	23	1977	125	-122	23	1977	125	-122	23	1977	125	-122	23	1977	125	-122	23	1977	125	-122	23	1977	125	-122	23	1977	125	-122	23	1977
126	-13	13	1990	126	-13	13	1990	126	-13	13	1990	126	-13	13	1990	126	-13	13	1990	126	-13	13	1990	126	-13	13	1990	126	-13	13	1990	126	-13	13	1990	126	-13	13	1990	126	-13	13	1990	126	-13	13	1990	126	-13	13	1990	126	-13	13	1990	126	-13	13	1990	126	-13	13	1990	126	-13	13	1990
127	-132	33	2023	127	-132	33	2023	127	-132	33	2023	127	-132	33	2023	127	-132	33	2023	127	-132	33	2023	127	-132	33	2023	127	-132	33	2023	127	-132	33	2023	127	-132	33	2023	127	-132	33	2023	127	-132	33	2023	127	-132	33	2023	127	-132	33	2023	127	-132	33	2023	127	-132	33	2023	127	-132	33	2023
128	-122	23	2046	128	-122	23	2046	128	-122	23	2046	128	-122	23	2046	128	-122	23	2046	128	-122	23	2046	128	-122	23	2046	128	-122	23	2046	128	-122	23	2046	128	-122	23	2046	128	-122	23	2046	128	-122	23	2046	128	-122	23	2046	128	-122	23	2046	128	-122	23	2046	128	-122	23	2046	128	-122	23	2046
129	-122	23	2069	129	-122	23	2069	129	-122	23	2069	129	-122	23	2069	129	-122	23	2069	129	-122	23	2069	129	-122	23	2069	129	-122	23	2069	129	-122	23	2069	129	-122	23	2069	129	-122	23	2069	129	-122	23	2069	129	-122	23	2069	129	-122	23	2069	129	-122	23	2069	129	-122	23	2069	129	-122	23	2069
130	-13	13	2082	130	-13	13	2082	130	-13	13	2082	130	-13	13	2082	130	-13	13	2082	130	-13	13	2082	130	-13	13	2082	130	-13	13	2082	130	-13	13	2082	130	-13	13	2082	130	-13	13	2082	130	-13	13	2082	130	-13	13	2082	130	-13	13	2082	130	-13	13	2082	130	-13	13	2082	130	-13	13	2082
131	-124	25	2107	131	-124	25	2107	131	-124	25	2107	131	-124	25	2107	131	-124	25	2107	131	-124	25	2107	131	-124	25	2107	131	-124	25	2107	131	-124	25	2107	131	-124	25	2107	131	-124	25	2107	131	-124	25	2107	131	-124	25	2107	131	-124	25	2107	131	-124	25	2107	131	-124	25	2107	131	-124	25	2107
132	-14	14	2121	132	-14	14	2121	132	-14	14	2121	132	-14	14	2121	132	-14	14	2121	132	-14	14	2121	132	-14	14	2121	132	-14	14	2121	132	-14	14	2121	132	-14	14	2121	132	-14	14	2121	132	-14	14	2121	132	-14	14	2121	132	-14	14	2121	132	-14	14	2121	132	-14	14	2121	132	-14	14	2121
133	-233	35	2156	133	-233	35	2156	133	-233	35	2156	133	-233	35	2156	133	-233	35	2156	133	-233	35	2156	133	-233	35	2156	133	-233	35	2156	133	-233	35	2156	133	-233	35	2156	133	-233	35	2156	133	-233	35	2156	133	-233	35	2156	133	-233	35	2156	133	-233	35	2156	133	-233	35	2156	133	-233	35	2156
134	-13	13	2169	134	-13	13	2169	134	-13	13	2169	134	-13	13	2169	134	-13	13	2169	134	-13	13	2169	134	-13	13	2169	134	-13	13	2169	134	-13	13	2169	134	-13	13	2169	134	-13	13	2169	134	-13	13	2169	134	-13	13	2169	134	-13	13	2169	134	-13	13	2169	134	-13	13	2169	134	-13	13	2169
135	-17	17	2186	135	-17	17	2186	135	-17	17	2186	135	-17	17	2186	135	-17	17	2186	135	-17	17	2186	135	-17	17	2186	135	-17	17	2186	135	-17	17	2186	135	-17	17	2186	135	-17	17	2186	135	-17	17	2186	135	-17	17	2186	135	-17	17	2186	135	-17	17	2186	135	-17	17	2186	135	-17	17	2186
136	-15	15	2201	136	-15	15	2201	136	-15	15	2201	136	-15	15	2201	136	-15	15	2201	136	-15	15	2201	136	-15	15	2201	136	-15	15	2201	136	-15	15	2201	136	-15	15	2201	136	-15	15	2201	136	-15	15	2201	136	-15	15	2201	136	-15	15	2201	136	-15	15	2201	136	-15	15	2201	136	-15	15	2201
137	-13	13	2214	137	-13	13	2214	137	-13	13	2214	137	-13	13	2214	137	-13	13	2214	137	-13	13	2214	137	-13	13	2214	137	-13	13	2214	137	-13	13	2214	137	-13	13	2214	137	-13	13	2214	137	-13	13	2214	137	-13	13	2214	137	-13	13	2214	137	-13	13	2214	137	-13	13	2214	137	-13	13	2214
138	-120	21	2235	138	-120	21	2235	138	-120	21	2235	138	-120	21	2235	138	-120	21	2235	138	-120	21	2235	138	-120	21	2235	138	-120	21	2235	138	-120	21	2235	138	-120	21	2235	138	-120	21	2235	138	-120	21	2235	138	-120	21	2235	138	-120	21	2235	138	-120	21	2235	138	-120	21	2235	138	-120	21	2235
139	-13	13	2248	139	-13	13	2248	139	-13	13	2248	139	-13	13	2248	139	-13	13	2248	139	-13	13	2248	139	-13	13	2248	139	-13	13	2248	139	-13	13	2248	139	-13	13	2248	139	-13	13	2248	139	-13	13	2248	139	-13	13	2248	139	-13	13	2248	139	-13	13	2248	139	-13	13	2248	139	-13	13	2248
140	-335	38	2286	140	-335	38	2286	140	-335	38	2286	140	-335	38	2286	140	-335	38	2286	140	-335	38	2286	140	-335	38	2286	140	-335	38	2286	140	-335	38	2286	140	-335	38	2286	140	-335	38	2286	140	-335	38	2286	140	-335	38	2286	140	-335	38	2286	140	-335	38	2286	140	-335	38	2286	140	-335	38	2286
141	-16	16	2302	141	-16	16	2302	141	-16	16	2302	141	-16	16	2302	141	-16	16	2302	141	-16	16	2302	141	-16	16	2302	141	-16	16	2302	141	-16	16	2302	141	-16	16	2302	141	-16	16	2302	141	-16	16	2302	141	-16	16	2302	141	-16	16	2302	141	-16	16	2302	141	-16	16	2302	141	-16	16	2302
142	-120	21	2323	142	-120	21	2323	142	-120	21	2323	142	-120	21	2323	142	-120	21	2323	142	-120	21	2323	142	-120	21	2323	142	-120	21	2323	142	-120	21	2323	142	-120	21	2323	142	-120	21	2323	142	-120	21	2323	142	-120	21	2323	142	-120	21	2323	142	-120	21	2323	142	-120	21	2323	142	-120	21	2323
143	-115	16	2339	143	-115	16	2339	143	-115	16	2339	143	-115	16	2339	143	-115	16	2339	143	-115	16	2339	143	-115	16	2339	143	-115	16	2339	143	-115	16	2339	143	-115	16	2339	143	-115	16	2339	143	-115	16	2339	143	-115	16	2339	143	-115	16	2339	143	-115	16	2339	143	-115	16	2339	143	-115	16	2339
144	-13	13	2352	144	-13	13	2352	144	-13	13	2352	144	-13	13	2352	144	-13	13	2352	144	-13	13	2352	144	-13	13	2352	144	-13	13	2352	144	-13	13	2352	144	-13	13	2352	144	-13	13	2352	144	-13	13	2352	144	-13	13	2352	144	-13	13	2352	144	-13	13	2352	144	-13	13	2352	144	-13	13	2352
145	-437	41	2393	145	-437	41	2393	145	-437	41	2393	145	-437	41	2393	145	-437	41	2393	145	-437	41	2393	145	-437	41	2393	145	-437	41	2393	145	-437	41	2393	145	-437	41	2393	145	-437	41	2393	145	-437	41	2393	145	-437	41	2393	145	-437	41	2393	145	-437	41	2393	145	-437	41	2393	145	-437	41	2393
146	-15	15	2408	146	-15	15	2408	146	-15	15	2408	146	-15	15	2408	146	-15	15	2408	146	-15	15	2408	146	-15	15	2408	146	-15	15	2408	146	-15	15	2408	146	-15	15	2408	146	-15	15	2408	146	-15	15	2408	146	-15	15	2408	146	-15	15	2408	146	-15	15	2408	146	-15	15	2408	146	-15	15	2408
147	-15	15	2423	147	-15	15	2423	147	-15	15	2423	147	-15	15	2423	147	-15	15	2423	147	-15	15	2423	147	-15	15	2423	147	-15	15	2423	147	-15	15	2423	147	-15	15	2423	147	-15	15	2423	147	-15	15	2423	147	-15	15	2423	147	-15	15	2423	147	-15	15	2423	147	-15	15	2423	147	-15	15	2423
148	-17	17	2440	148	-17	17	2440	148	-17	17	2440	148	-17	17	2440	148	-17	17	2440	148	-17	17	2440	148	-17	17	2440	148	-17	17	2440	148	-17	17	2440	148	-17	17	2440	148	-17	17	2440	148	-17	17	2440	148	-17	17	2440	148	-17	17	2440	148	-17	17	2440	148	-17	17	2440	148	-17	17	2440
149	-13	13	2453	149	-13	13	2453	149	-13	13	2453	149	-13	13	2453	149	-13	13	2453	149	-13	13	2453	149	-13	13	2453	149	-13	13	2453	149	-13	13	2453	149	-13	13	2453	149	-13	13	2453	149	-13	13	2453	149	-13	13	2453	149	-13	13	2453	149	-13	13	2453	149	-13	13	2453	149	-13	13	2453
150	-120	21	2474	150	-120	21	2474	150	-120	21	2474	150	-120	21	2474	150	-120	21	2474	150	-120	21	2474	150	-120	21	2474	150	-120	21	2474	150	-120	21	2474	150	-120	21	2474	150	-120	21	2474	150	-120	21	2474	150	-120	21	2474	150	-120	21	2474	150	-120	21	2474	150	-120	21	2474	150	-120	21	2474
151	-222	24	2498	151	-222	24	2498	151	-222	24	2498	151	-222	24	2498	151	-222	24	2498	151	-222	24	2498	151	-222	24	2498	151	-222	24	2498	151	-222	24	2498	151	-222	24	2498	151	-222	24	2498	151	-222	24	2498	151	-222	24	2498	151	-222	24	2498	151	-222	24	2498	151	-222	24	2498	151	-222	24	2498
152	-15	15	2513	152	-15	15	2513	152	-15	15	2513	152	-15	15	2513	152	-15	15	2513	152	-15	15	2513	152	-15	15	2513	152	-15	15	2513	152	-15	15	2513	152	-15	15	2513	152	-15	15	2513	152	-15	15	2513	152	-15	15	2513	152	-15	15	2513	152	-15	15	2513	152	-15	15	2513	152	-15	15	2513
153	-13	13	2526	153	-13	13	2526	153	-13	13	2526	153	-13	13	2526	153	-13	13	2526	153	-13	13	2526	153	-13	13	2526	153	-13	13	2526	153	-13	13	2526	153	-13	13	2526	153	-13	13	2526	153	-13	13	2526	153	-13	13	2526	153	-13	13	2526	153	-13	13	2526	153	-13	13	2526	153	-13	13	2526
154	-126	27	2553	154	-126	27	2553	154	-126	27	2553	154	-126	27	2553	154	-126	27	2553	154	-126	27	2553	154	-126	27	2553	154	-126	27	2553	154	-126	27	2553	154	-126	27	2553	154	-126	27	2553	154	-126	27	2553	154	-126	27	2553	154	-126	27	2553	154	-126	27	2553	154	-126	27	2553	154	-126	27	2553
155	-222	24	2577	155	-222	24	2577	155	-222	24	2577	155	-222	24	2577	155	-222	24	2577	155	-222	24	2577	155	-222	24	2577	155	-222	24	2577	155	-222	24	2577	155	-222	24	2577	155	-222	24	2577	155	-222	24	2577	155	-222	24	2577	155	-222	24	2577	155	-222	24	2577	155	-222	24	2577	155	-222	24	2577
156	-13	13	2590	156	-13	13	2590	156	-13	13	2590	156	-13	13	2590	156	-13	13	2590	156	-13	13	2590	156	-13	13	2590	156	-13	13	2590	156	-13	13	2590	156	-13	13	2590	156	-13	13	2590	156	-13	13	2590	156	-13	13	2590	156	-13	13	2590	156	-13	13	2590	156	-13	13	2590	156	-13	13	2590
157	-15	15	2605	157	-15	15	2605	157	-15	15	2605	157	-15	15	2605	157	-15	15	2605	157	-15	15	2605	157	-15	15	2605	157	-15	15	2605	157	-15	15	2605	157	-15	15	2605	157	-15	15	2605	157	-15	15	2605	157	-15	15	2605	157	-15	15	2605	157	-15	15	2605	157	-15	15	2605	157	-15	15	2605
