Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
163	-17	17	2708	163	-17	17	2708
164	-228	30	2738	164	-228	30	2738
165	-15	15	2753	165	-15	15	2753
166	-17	17	2770	166	-17	17	2770
167	-13	13	2783	167	-13	13	2783
168	-15	15	2798	168	-15	15	2798
169	-125	26	2824	169	-125	26	2824
170	-15	15	2839	170	-15	15	2839
171	-223	25	2864	171	-223	25	2864
172	-119	20	2884	172	-119	20	2884
173	-13	13	2897	173	-13	13	2897
174	-13	13	2910	174	-13	13	2910
175	-233	35	2945	175	-233	35	2945
176	-123	24	2969	176	-123	24	2969
177	-13	13	2982	177	-13	13	2982
178	-13	13	2995	178	-13	13	2995
179	-124	25	3020	179	-124	25	3020
180	-19	19	3039	180	-19	19	3039
181	-15	15	3054	181	-15	15	3054
182	-13	13	3067	182	-13	13	3067
183	-18	18	3085	183	-18	18	3085
184	-16	16	3101	184	-16	16	3101
185	-131	32	3133	185	-131	32	3133
186	-116	17	3150	186	-116	17	3150
187	-13	13	3163	187	-13	13	3163
188	-13	13	3176	188	-13	13	3176
189	-15	15	3191	189	-15	15	3191
190	-13	13	3204	190	-13	13	3204
191	-118	19	3223	191	-118	19	3223
192	-13	13	3236	192	-13	13	3236
193	-14	14	3250	193	-14	14	3250
194	-225	27	3277	194	-225	27	3277
195	-13	13	3290	195	-13	13	3290
196	-15	15	3305	196	-15	15	3305
197	-17	17	3322	197	-17	17	3322
198	-15	15	3337	198	-15	15	3337
199	-122	23	3360	199	-122	23	3360
