Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
157	-17	17	12331	157	-17	17	12331
158	-20	20	12351	158	-20	20	12351
159	-38	38	12389	159	-38	38	12389
160	-29	29	12418	160	-29	29	12418
161	-703	505	12923	161	-703	505	12923
162	-120	120	13043	162	-120	120	13043
163	-48	48	13091	163	-48	48	13091
164	-44	44	13135	164	-44	44	13135
165	-30	30	13165	165	-30	30	13165
166	-19	19	13184	166	-19	19	13184
167	-127	28	13212	167	-127	28	13212
168	-103	103	13315	168	-103	103	13315
169	-750	552	13867	169	-750	552	13867
170	-2127	939	14806	170	-2127	939	14806
171	-208	109	14915	171	-208	109	14915
172	-328	229	15144	172	-328	229	15144
173	-256	58	15202	173	-256	58	15202
174	-46	46	15248	174	-46	46	15248
175	-20	20	15268	175	-20	20	15268
176	-23	23	15291	176	-23	23	15291
177	-2827	1837	17128	177	-2827	1837	17128
178	-224	125	17253	178	-224	125	17253
179	-76	76	17329	179	-76	76	17329
180	-64	64	17393	180	-64	64	17393
181	-145	46	17439	181	-145	46	17439
182	-31	31	17470	182	-31	31	17470
183	-231	132	17602	183	-231	132	17602
184	-2228	1634	19236	184	-2228	1634	19236
185	-111	111	19347	185	-111	111	19347
186	-94	94	19441	186	-94	94	19441
187	-810	711	20152	187	-810	711	20152
188	-794	497	20649	188	-794	497	20649
189	-25	25	20674	189	-25	25	20674
190	-29	29	20703	190	-29	29	20703
191	-19	19	20722	191	-19	19	20722
192	-17	17	20739	192	-17	17	20739
193	-25	25	20764	193	-25	25	20764
194	-18	18	20782	194	-18	18	20782
195	-40	40	20822	195	-40	40	20822
196	-25	25	20847	196	-25	25	20847
197	-1533	1137	21984	197	-1533	1137	21984
198	-283	184	22168	198	-283	184	22168
199	-40	40	22208	199	-40	40	22208
