Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
45	-21	21	2738	45	-21	21	2738	45	-21	21	2738	45	-21	21	2738	45	-21	21	2738	45	-21	21	2738	45	-21	21	2738
46	-29	29	2767	46	-29	29	2767	46	-29	29	2767	46	-29	29	2767	46	-29	29	2767	46	-29	29	2767	46	-29	29	2767
47	-33	33	2800	47	-33	33	2800	47	-33	33	2800	47	-33	33	2800	47	-33	33	2800	47	-33	33	2800	47	-33	33	2800
48	-21	21	2821	48	-21	21	2821	48	-21	21	2821	48	-21	21	2821	48	-21	21	2821	48	-21	21	2821	48	-21	21	2821
49	-19	19	2840	49	-19	19	2840	49	-19	19	2840	49	-19	19	2840	49	-19	19	2840	49	-19	19	2840	49	-19	19	2840
50	-67	67	2907	50	-67	67	2907	50	-67	67	2907	50	-67	67	2907	50	-67	67	2907	50	-67	67	2907	50	-67	67	2907
51	-516	219	3126	51	-516	219	3126	51	-516	219	3126	51	-516	219	3126	51	-516	219	3126	51	-516	219	3126	51	-516	219	3126
52	-32	32	3158	52	-32	32	3158	52	-32	32	3158	52	-32	32	3158	52	-32	32	3158	52	-32	32	3158	52	-32	32	3158
53	-26	26	3184	53	-26	26	3184	53	-26	26	3184	53	-26	26	3184	53	-26	26	3184	53	-26	26	3184	53	-26	26	3184
54	-21	21	3205	54	-21	21	3205	54	-21	21	3205	54	-21	21	3205	54	-21	21	3205	54	-21	21	3205	54	-21	21	3205
55	-29	29	3234	55	-29	29	3234	55	-29	29	3234	55	-29	29	3234	55	-29	29	3234	55	-29	29	3234	55	-29	29	3234
56	-19	19	3253	56	-19	19	3253	56	-19	19	3253	56	-19	19	3253	56	-19	19	3253	56	-19	19	3253	56	-19	19	3253
57	-18	18	3271	57	-18	18	3271	57	-18	18	3271	57	-18	18	3271	57	-18	18	3271	57	-18	18	3271	57	-18	18	3271
58	-26	26	3297	58	-26	26	3297	58	-26	26	3297	58	-26	26	3297	58	-26	26	3297	58	-26	26	3297	58	-26	26	3297
59	-37	37	3334	59	-37	37	3334	59	-37	37	3334	59	-37	37	3334	59	-37	37	3334	59	-37	37	3334	59	-37	37	3334
60	-21	21	3355	60	-21	21	3355	60	-21	21	3355	60	-21	21	3355	60	-21	21	3355	60	-21	21	3355	60	-21	21	3355
