Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
54	-21	21	1892	54	-21	21	1892	54	-21	21	1892	54	-21	21	1892	54	-21	21	1892	54	-21	21	1892
55	-23	23	1915	55	-23	23	1915	55	-23	23	1915	55	-23	23	1915	55	-23	23	1915	55	-23	23	1915
56	-23	23	1938	56	-23	23	1938	56	-23	23	1938	56	-23	23	1938	56	-23	23	1938	56	-23	23	1938
57	-36	36	1974	57	-36	36	1974	57	-36	36	1974	57	-36	36	1974	57	-36	36	1974	57	-36	36	1974
58	-123	24	1998	58	-123	24	1998	58	-123	24	1998	58	-123	24	1998	58	-123	24	1998	58	-123	24	1998
59	-75	75	2073	59	-75	75	2073	59	-75	75	2073	59	-75	75	2073	59	-75	75	2073	59	-75	75	2073
60	-53	53	2126	60	-53	53	2126	60	-53	53	2126	60	-53	53	2126	60	-53	53	2126	60	-53	53	2126
61	-23	23	2149	61	-23	23	2149	61	-23	23	2149	61	-23	23	2149	61	-23	23	2149	61	-23	23	2149
62	-24	24	2173	62	-24	24	2173	62	-24	24	2173	62	-24	24	2173	62	-24	24	2173	62	-24	24	2173
63	-19	19	2192	63	-19	19	2192	63	-19	19	2192	63	-19	19	2192	63	-19	19	2192	63	-19	19	2192
64	-21	21	2213	64	-21	21	2213	64	-21	21	2213	64	-21	21	2213	64	-21	21	2213	64	-21	21	2213
65	-23	23	2236	65	-23	23	2236	65	-23	23	2236	65	-23	23	2236	65	-23	23	2236	65	-23	23	2236
66	-21	21	2257	66	-21	21	2257	66	-21	21	2257	66	-21	21	2257	66	-21	21	2257	66	-21	21	2257
67	-17	17	2274	67	-17	17	2274	67	-17	17	2274	67	-17	17	2274	67	-17	17	2274	67	-17	17	2274
68	-25	25	2299	68	-25	25	2299	68	-25	25	2299	68	-25	25	2299	68	-25	25	2299	68	-25	25	2299
69	-22	22	2321	69	-22	22	2321	69	-22	22	2321	69	-22	22	2321	69	-22	22	2321	69	-22	22	2321
70	-24	24	2345	70	-24	24	2345	70	-24	24	2345	70	-24	24	2345	70	-24	24	2345	70	-24	24	2345
71	-23	23	2368	71	-23	23	2368	71	-23	23	2368	71	-23	23	2368	71	-23	23	2368	71	-23	23	2368
72	-24	24	2392	72	-24	24	2392	72	-24	24	2392	72	-24	24	2392	72	-24	24	2392	72	-24	24	2392
73	-23	23	2415	73	-23	23	2415	73	-23	23	2415	73	-23	23	2415	73	-23	23	2415	73	-23	23	2415
74	-21	21	2436	74	-21	21	2436	74	-21	21	2436	74	-21	21	2436	74	-21	21	2436	74	-21	21	2436
75	-37	37	2473	75	-37	37	2473	75	-37	37	2473	75	-37	37	2473	75	-37	37	2473	75	-37	37	2473
76	-21	21	2494	76	-21	21	2494	76	-21	21	2494	76	-21	21	2494	76	-21	21	2494	76	-21	21	2494
77	-39	39	2533	77	-39	39	2533	77	-39	39	2533	77	-39	39	2533	77	-39	39	2533	77	-39	39	2533
78	-44	44	2577	78	-44	44	2577	78	-44	44	2577	78	-44	44	2577	78	-44	44	2577	78	-44	44	2577
79	-612	414	2991	79	-612	414	2991	79	-612	414	2991	79	-612	414	2991	79	-612	414	2991	79	-612	414	2991
80	-23	23	3014	80	-23	23	3014	80	-23	23	3014	80	-23	23	3014	80	-23	23	3014	80	-23	23	3014
81	-47	47	3061	81	-47	47	3061	81	-47	47	3061	81	-47	47	3061	81	-47	47	3061	81	-47	47	3061
82	-21	21	3082	82	-21	21	3082	82	-21	21	3082	82	-21	21	3082	82	-21	21	3082	82	-21	21	3082
83	-31	31	3113	83	-31	31	3113	83	-31	31	3113	83	-31	31	3113	83	-31	31	3113	83	-31	31	3113
84	-19	19	3132	84	-19	19	3132	84	-19	19	3132	84	-19	19	3132	84	-19	19	3132	84	-19	19	3132
85	-17	17	3149	85	-17	17	3149	85	-17	17	3149	85	-17	17	3149	85	-17	17	3149	85	-17	17	3149
86	-20	20	3169	86	-20	20	3169	86	-20	20	3169	86	-20	20	3169	86	-20	20	3169	86	-20	20	3169
87	-19	19	3188	87	-19	19	3188	87	-19	19	3188	87	-19	19	3188	87	-19	19	3188	87	-19	19	3188
88	-19	19	3207	88	-19	19	3207	88	-19	19	3207	88	-19	19	3207	88	-19	19	3207	88	-19	19	3207
89	-17	17	3224	89	-17	17	3224	89	-17	17	3224	89	-17	17	3224	89	-17	17	3224	89	-17	17	3224
90	-21	21	3245	90	-21	21	3245	90	-21	21	3245	90	-21	21	3245	90	-21	21	3245	90	-21	21	3245
91	-21	21	3266	91	-21	21	3266	91	-21	21	3266	91	-21	21	3266	91	-21	21	3266	91	-21	21	3266
92	-21	21	3287	92	-21	21	3287	92	-21	21	3287	92	-21	21	3287	92	-21	21	3287	92	-21	21	3287
93	-247	148	3435	93	-247	148	3435	93	-247	148	3435	93	-247	148	3435	93	-247	148	3435	93	-247	148	3435
94	-268	169	3604	94	-268	169	3604	94	-268	169	3604	94	-268	169	3604	94	-268	169	3604	94	-268	169	3604
95	-26	26	3630	95	-26	26	3630	95	-26	26	3630	95	-26	26	3630	95	-26	26	3630	95	-26	26	3630
96	-29	29	3659	96	-29	29	3659	96	-29	29	3659	96	-29	29	3659	96	-29	29	3659	96	-29	29	3659
97	-29	29	3688	97	-29	29	3688	97	-29	29	3688	97	-29	29	3688	97	-29	29	3688	97	-29	29	3688
98	-23	23	3711	98	-23	23	3711	98	-23	23	3711	98	-23	23	3711	98	-23	23	3711	98	-23	23	3711
99	-48	48	3759	99	-48	48	3759	99	-48	48	3759	99	-48	48	3759	99	-48	48	3759	99	-48	48	3759
100	-20	20	3779	100	-20	20	3779	100	-20	20	3779	100	-20	20	3779	100	-20	20	3779	100	-20	20	3779
101	-23	23	3802	101	-23	23	3802	101	-23	23	3802	101	-23	23	3802	101	-23	23	3802	101	-23	23	3802
102	-21	21	3823	102	-21	21	3823	102	-21	21	3823	102	-21	21	3823	102	-21	21	3823	102	-21	21	3823
103	-191	92	3915	103	-191	92	3915	103	-191	92	3915	103	-191	92	3915	103	-191	92	3915	103	-191	92	3915
104	-27	27	3942	104	-27	27	3942	104	-27	27	3942	104	-27	27	3942	104	-27	27	3942	104	-27	27	3942
105	-23	23	3965	105	-23	23	3965	105	-23	23	3965	105	-23	23	3965	105	-23	23	3965	105	-23	23	3965
106	-24	24	3989	106	-24	24	3989	106	-24	24	3989	106	-24	24	3989	106	-24	24	3989	106	-24	24	3989
107	-18	18	4007	107	-18	18	4007	107	-18	18	4007	107	-18	18	4007	107	-18	18	4007	107	-18	18	4007
108	-20	20	4027	108	-20	20	4027	108	-20	20	4027	108	-20	20	4027	108	-20	20	4027	108	-20	20	4027
109	-27	27	4054	109	-27	27	4054	109	-27	27	4054	109	-27	27	4054	109	-27	27	4054	109	-27	27	4054
110	-17	17	4071	110	-17	17	4071	110	-17	17	4071	110	-17	17	4071	110	-17	17	4071	110	-17	17	4071
111	-19	19	4090	111	-19	19	4090	111	-19	19	4090	111	-19	19	4090	111	-19	19	4090	111	-19	19	4090
112	-21	21	4111	112	-21	21	4111	112	-21	21	4111	112	-21	21	4111	112	-21	21	4111	112	-21	21	4111
113	-21	21	4132	113	-21	21	4132	113	-21	21	4132	113	-21	21	4132	113	-21	21	4132	113	-21	21	4132
114	-20	20	4152	114	-20	20	4152	114	-20	20	4152	114	-20	20	4152	114	-20	20	4152	114	-20	20	4152
115	-19	19	4171	115	-19	19	4171	115	-19	19	4171	115	-19	19	4171	115	-19	19	4171	115	-19	19	4171
116	-147	48	4219	116	-147	48	4219	116	-147	48	4219	116	-147	48	4219	116	-147	48	4219	116	-147	48	4219
117	-29	29	4248	117	-29	29	4248	117	-29	29	4248	117	-29	29	4248	117	-29	29	4248	117	-29	29	4248
118	-36	36	4284	118	-36	36	4284	118	-36	36	4284	118	-36	36	4284	118	-36	36	4284	118	-36	36	4284
119	-17	17	4301	119	-17	17	4301	119	-17	17	4301	119	-17	17	4301	119	-17	17	4301	119	-17	17	4301
120	-17	17	4318	120	-17	17	4318	120	-17	17	4318	120	-17	17	4318	120	-17	17	4318	120	-17	17	4318
121	-18	18	4336	121	-18	18	4336	121	-18	18	4336	121	-18	18	4336	121	-18	18	4336	121	-18	18	4336
122	-18	18	4354	122	-18	18	4354	122	-18	18	4354	122	-18	18	4354	122	-18	18	4354	122	-18	18	4354
123	-19	19	4373	123	-19	19	4373	123	-19	19	4373	123	-19	19	4373	123	-19	19	4373	123	-19	19	4373
124	-18	18	4391	124	-18	18	4391	124	-18	18	4391	124	-18	18	4391	124	-18	18	4391	124	-18	18	4391
125	-19	19	4410	125	-19	19	4410	125	-19	19	4410	125	-19	19	4410	125	-19	19	4410	125	-19	19	4410
126	-26	26	4436	126	-26	26	4436	126	-26	26	4436	126	-26	26	4436	126	-26	26	4436	126	-26	26	4436
127	-33	33	4469	127	-33	33	4469	127	-33	33	4469	127	-33	33	4469	127	-33	33	4469	127	-33	33	4469
128	-55	55	4524	128	-55	55	4524	128	-55	55	4524	128	-55	55	4524	128	-55	55	4524	128	-55	55	4524
129	-29	29	4553	129	-29	29	4553	129	-29	29	4553	129	-29	29	4553	129	-29	29	4553	129	-29	29	4553
130	-27	27	4580	130	-27	27	4580	130	-27	27	4580	130	-27	27	4580	130	-27	27	4580	130	-27	27	4580
131	-23	23	4603	131	-23	23	4603	131	-23	23	4603	131	-23	23	4603	131	-23	23	4603	131	-23	23	4603
132	-19	19	4622	132	-19	19	4622	132	-19	19	4622	132	-19	19	4622	132	-19	19	4622	132	-19	19	4622
133	-18	18	4640	133	-18	18	4640	133	-18	18	4640	133	-18	18	4640	133	-18	18	4640	133	-18	18	4640
134	-20	20	4660	134	-20	20	4660	134	-20	20	4660	134	-20	20	4660	134	-20	20	4660	134	-20	20	4660
135	-18	18	4678	135	-18	18	4678	135	-18	18	4678	135	-18	18	4678	135	-18	18	4678	135	-18	18	4678
136	-121	22	4700	136	-121	22	4700	136	-121	22	4700	136	-121	22	4700	136	-121	22	4700	136	-121	22	4700
137	-18	18	4718	137	-18	18	4718	137	-18	18	4718	137	-18	18	4718	137	-18	18	4718	137	-18	18	4718
138	-25	25	4743	138	-25	25	4743	138	-25	25	4743	138	-25	25	4743	138	-25	25	4743	138	-25	25	4743
139	-17	17	4760	139	-17	17	4760	139	-17	17	4760	139	-17	17	4760	139	-17	17	4760	139	-17	17	4760
140	-21	21	4781	140	-21	21	4781	140	-21	21	4781	140	-21	21	4781	140	-21	21	4781	140	-21	21	4781
141	-56	56	4837	141	-56	56	4837	141	-56	56	4837	141	-56	56	4837	141	-56	56	4837	141	-56	56	4837
142	-37	37	4874	142	-37	37	4874	142	-37	37	4874	142	-37	37	4874	142	-37	37	4874	142	-37	37	4874
143	-19	19	4893	143	-19	19	4893	143	-19	19	4893	143	-19	19	4893	143	-19	19	4893	143	-19	19	4893
144	-28	28	4921	144	-28	28	4921	144	-28	28	4921	144	-28	28	4921	144	-28	28	4921	144	-28	28	4921
145	-227	29	4950	145	-227	29	4950	145	-227	29	4950	145	-227	29	4950	145	-227	29	4950	145	-227	29	4950
146	-49	49	4999	146	-49	49	4999	146	-49	49	4999	146	-49	49	4999	146	-49	49	4999	146	-49	49	4999
147	-20	20	5019	147	-20	20	5019	147	-20	20	5019	147	-20	20	5019	147	-20	20	5019	147	-20	20	5019
148	-19	19	5038	148	-19	19	5038	148	-19	19	5038	148	-19	19	5038	148	-19	19	5038	148	-19	19	5038
149	-17	17	5055	149	-17	17	5055	149	-17	17	5055	149	-17	17	5055	149	-17	17	5055	149	-17	17	5055
150	-20	20	5075	150	-20	20	5075	150	-20	20	5075	150	-20	20	5075	150	-20	20	5075	150	-20	20	5075
151	-18	18	5093	151	-18	18	5093	151	-18	18	5093	151	-18	18	5093	151	-18	18	5093	151	-18	18	5093
152	-17	17	5110	152	-17	17	5110	152	-17	17	5110	152	-17	17	5110	152	-17	17	5110	152	-17	17	5110
153	-17	17	5127	153	-17	17	5127	153	-17	17	5127	153	-17	17	5127	153	-17	17	5127	153	-17	17	5127
154	-40	40	5167	154	-40	40	5167	154	-40	40	5167	154	-40	40	5167	154	-40	40	5167	154	-40	40	5167
155	-34	34	5201	155	-34	34	5201	155	-34	34	5201	155	-34	34	5201	155	-34	34	5201	155	-34	34	5201
156	-126	27	5228	156	-126	27	5228	156	-126	27	5228	156	-126	27	5228	156	-126	27	5228	156	-126	27	5228
157	-19	19	5247	157	-19	19	5247	157	-19	19	5247	157	-19	19	5247	157	-19	19	5247	157	-19	19	5247
158	-18	18	5265	158	-18	18	5265	158	-18	18	5265	158	-18	18	5265	158	-18	18	5265	158	-18	18	5265
159	-39	39	5304	159	-39	39	5304	159	-39	39	5304	159	-39	39	5304	159	-39	39	5304	159	-39	39	5304
160	-29	29	5333	160	-29	29	5333	160	-29	29	5333	160	-29	29	5333	160	-29	29	5333	160	-29	29	5333
161	-17	17	5350	161	-17	17	5350	161	-17	17	5350	161	-17	17	5350	161	-17	17	5350	161	-17	17	5350
162	-32	32	5382	162	-32	32	5382	162	-32	32	5382	162	-32	32	5382	162	-32	32	5382	162	-32	32	5382
163	-28	28	5410	163	-28	28	5410	163	-28	28	5410	163	-28	28	5410	163	-28	28	5410	163	-28	28	5410
164	-29	29	5439	164	-29	29	5439	164	-29	29	5439	164	-29	29	5439	164	-29	29	5439	164	-29	29	5439
165	-19	19	5458	165	-19	19	5458	165	-19	19	5458	165	-19	19	5458	165	-19	19	5458	165	-19	19	5458
