Episode	Accumulated Reward	Length	Steps
0	-3029	1247	1247
1	-224	125	1372
2	-223	25	1397
3	-43	43	1440
4	-41	41	1481
5	-44	44	1525
6	-39	39	1564
7	-93	93	1657
8	-327	327	1984
9	-37	37	2021
10	-38	38	2059
11	-522	225	2284
12	-329	230	2514
13	-40	40	2554
14	-43	43	2597
15	-530	332	2929
16	-36	36	2965
17	-277	178	3143
18	-42	42	3185
19	-139	139	3324
20	-69	69	3393
21	-54	54	3447
22	-25	25	3472
23	-21	21	3493
24	-21	21	3514
25	-25	25	3539
26	-25	25	3564
27	-21	21	3585
28	-23	23	3608
29	-24	24	3632
30	-21	21	3653
31	-22	22	3675
32	-127	28	3703
33	-27	27	3730
34	-43	43	3773
35	-21	21	3794
36	-21	21	3815
37	-23	23	3838
38	-21	21	3859
39	-342	144	4003
40	-20	20	4023
41	-574	376	4399
42	-243	243	4642
43	-95	95	4737
44	-36	36	4773
45	-60	60	4833
46	-31	31	4864
47	-19	19	4883
48	-19	19	4902
49	-20	20	4922
50	-17	17	4939
51	-19	19	4958
52	-20	20	4978
53	-19	19	4997
54	-19	19	5016
55	-19	19	5035
56	-19	19	5054
57	-39	39	5093
58	-130	31	5124
59	-56	56	5180
60	-29	29	5209
61	-38	38	5247
62	-29	29	5276
63	-27	27	5303
64	-26	26	5329
65	-27	27	5356
66	-42	42	5398
67	-132	33	5431
68	-20	20	5451
69	-33	33	5484
70	-121	22	5506
71	-26	26	5532
72	-29	29	5561
73	-389	290	5851
74	-275	77	5928
75	-76	76	6004
76	-46	46	6050
77	-79	79	6129
78	-54	54	6183
79	-40	40	6223
80	-62	62	6285
81	-26	26	6311
82	-25	25	6336
83	-25	25	6361
84	-17	17	6378
85	-17	17	6395
86	-23	23	6418
87	-20	20	6438
88	-27	27	6465
89	-20	20	6485
90	-34	34	6519
91	-38	38	6557
92	-163	163	6720
93	-35	35	6755
94	-24	24	6779
95	-123	24	6803
96	-21	21	6824
97	-25	25	6849
98	-125	125	6974
99	-31	31	7005
100	-40	40	7045
101	-31	31	7076
102	-28	28	7104
103	-28	28	7132
104	-135	36	7168
105	-62	62	7230
106	-52	52	7282
107	-237	39	7321
108	-40	40	7361
109	-28	28	7389
110	-30	30	7419
111	-27	27	7446
112	-23	23	7469
113	-22	22	7491
114	-21	21	7512
115	-28	28	7540
116	-125	26	7566
117	-24	24	7590
118	-32	32	7622
119	-38	38	7660
120	-37	37	7697
121	-29	29	7726
122	-22	22	7748
123	-69	69	7817
124	-25	25	7842
125	-23	23	7865
126	-20	20	7885
127	-19	19	7904
128	-32	32	7936
129	-42	42	7978
130	-32	32	8010
131	-32	32	8042
132	-35	35	8077
133	-302	302	8379
134	-65	65	8444
135	-76	76	8520
136	-595	397	8917
137	-39	39	8956
138	-121	22	8978
139	-24	24	9002
140	-21	21	9023
141	-22	22	9045
142	-19	19	9064
143	-21	21	9085
144	-19	19	9104
145	-23	23	9127
146	-41	41	9168
147	-39	39	9207
148	-32	32	9239
149	-29	29	9268
150	-23	23	9291
151	-40	40	9331
152	-48	48	9379
153	-24	24	9403
154	-21	21	9424
155	-23	23	9447
156	-25	25	9472
157	-21	21	9493
158	-29	29	9522
159	-19	19	9541
160	-22	22	9563
161	-163	163	9726
162	-27	27	9753
163	-21	21	9774
164	-21	21	9795
165	-21	21	9816
166	-22	22	9838
167	-19	19	9857
168	-21	21	9878
169	-19	19	9897
170	-19	19	9916
171	-22	22	9938
172	-23	23	9961
173	-22	22	9983
174	-20	20	10003
175	-23	23	10026
176	-25	25	10051
177	-24	24	10075
178	-33	33	10108
179	-23	23	10131
180	-27	27	10158
181	-23	23	10181
182	-20	20	10201
183	-18	18	10219
184	-35	35	10254
185	-31	31	10285
186	-52	52	10337
187	-35	35	10372
188	-28	28	10400
189	-31	31	10431
190	-61	61	10492
191	-113	113	10605
192	-138	138	10743
193	-35	35	10778
194	-23	23	10801
195	-229	130	10931
196	-202	202	11133
197	-109	109	11242
198	-33	33	11275
199	-32	32	11307
