Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
56	-19	19	1142	56	-19	19	1142	56	-19	19	1142	56	-19	19	1142	56	-19	19	1142	56	-19	19	1142
57	-17	17	1159	57	-17	17	1159	57	-17	17	1159	57	-17	17	1159	57	-17	17	1159	57	-17	17	1159
58	-17	17	1176	58	-17	17	1176	58	-17	17	1176	58	-17	17	1176	58	-17	17	1176	58	-17	17	1176
59	-19	19	1195	59	-19	19	1195	59	-19	19	1195	59	-19	19	1195	59	-19	19	1195	59	-19	19	1195
60	-24	24	1219	60	-24	24	1219	60	-24	24	1219	60	-24	24	1219	60	-24	24	1219	60	-24	24	1219
61	-22	22	1241	61	-22	22	1241	61	-22	22	1241	61	-22	22	1241	61	-22	22	1241	61	-22	22	1241
62	-17	17	1258	62	-17	17	1258	62	-17	17	1258	62	-17	17	1258	62	-17	17	1258	62	-17	17	1258
63	-18	18	1276	63	-18	18	1276	63	-18	18	1276	63	-18	18	1276	63	-18	18	1276	63	-18	18	1276
64	-20	20	1296	64	-20	20	1296	64	-20	20	1296	64	-20	20	1296	64	-20	20	1296	64	-20	20	1296
65	-19	19	1315	65	-19	19	1315	65	-19	19	1315	65	-19	19	1315	65	-19	19	1315	65	-19	19	1315
66	-21	21	1336	66	-21	21	1336	66	-21	21	1336	66	-21	21	1336	66	-21	21	1336	66	-21	21	1336
67	-17	17	1353	67	-17	17	1353	67	-17	17	1353	67	-17	17	1353	67	-17	17	1353	67	-17	17	1353
68	-19	19	1372	68	-19	19	1372	68	-19	19	1372	68	-19	19	1372	68	-19	19	1372	68	-19	19	1372
69	-21	21	1393	69	-21	21	1393	69	-21	21	1393	69	-21	21	1393	69	-21	21	1393	69	-21	21	1393
70	-17	17	1410	70	-17	17	1410	70	-17	17	1410	70	-17	17	1410	70	-17	17	1410	70	-17	17	1410
71	-19	19	1429	71	-19	19	1429	71	-19	19	1429	71	-19	19	1429	71	-19	19	1429	71	-19	19	1429
72	-23	23	1452	72	-23	23	1452	72	-23	23	1452	72	-23	23	1452	72	-23	23	1452	72	-23	23	1452
73	-17	17	1469	73	-17	17	1469	73	-17	17	1469	73	-17	17	1469	73	-17	17	1469	73	-17	17	1469
74	-17	17	1486	74	-17	17	1486	74	-17	17	1486	74	-17	17	1486	74	-17	17	1486	74	-17	17	1486
75	-136	37	1523	75	-136	37	1523	75	-136	37	1523	75	-136	37	1523	75	-136	37	1523	75	-136	37	1523
76	-17	17	1540	76	-17	17	1540	76	-17	17	1540	76	-17	17	1540	76	-17	17	1540	76	-17	17	1540
77	-22	22	1562	77	-22	22	1562	77	-22	22	1562	77	-22	22	1562	77	-22	22	1562	77	-22	22	1562
78	-19	19	1581	78	-19	19	1581	78	-19	19	1581	78	-19	19	1581	78	-19	19	1581	78	-19	19	1581
79	-20	20	1601	79	-20	20	1601	79	-20	20	1601	79	-20	20	1601	79	-20	20	1601	79	-20	20	1601
80	-18	18	1619	80	-18	18	1619	80	-18	18	1619	80	-18	18	1619	80	-18	18	1619	80	-18	18	1619
81	-32	32	1651	81	-32	32	1651	81	-32	32	1651	81	-32	32	1651	81	-32	32	1651	81	-32	32	1651
82	-21	21	1672	82	-21	21	1672	82	-21	21	1672	82	-21	21	1672	82	-21	21	1672	82	-21	21	1672
83	-19	19	1691	83	-19	19	1691	83	-19	19	1691	83	-19	19	1691	83	-19	19	1691	83	-19	19	1691
84	-19	19	1710	84	-19	19	1710	84	-19	19	1710	84	-19	19	1710	84	-19	19	1710	84	-19	19	1710
