Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
131	-153.0	153	24727	131	-153.0	153	24727
132	-150.0	150	24877	132	-150.0	150	24877
133	-148.0	148	25025	133	-148.0	148	25025
134	-95.0	95	25120	134	-95.0	95	25120
135	-137.0	137	25257	135	-137.0	137	25257
136	-90.0	90	25347	136	-90.0	90	25347
137	-172.0	172	25519	137	-172.0	172	25519
138	-99.0	99	25618	138	-99.0	99	25618
139	-90.0	90	25708	139	-90.0	90	25708
140	-146.0	146	25854	140	-146.0	146	25854
141	-99.0	99	25953	141	-99.0	99	25953
142	-153.0	153	26106	142	-153.0	153	26106
143	-161.0	161	26267	143	-161.0	161	26267
144	-154.0	154	26421	144	-154.0	154	26421
145	-137.0	137	26558	145	-137.0	137	26558
146	-98.0	98	26656	146	-98.0	98	26656
147	-177.0	177	26833	147	-177.0	177	26833
148	-167.0	167	27000	148	-167.0	167	27000
149	-96.0	96	27096	149	-96.0	96	27096
150	-145.0	145	27241	150	-145.0	145	27241
151	-147.0	147	27388	151	-147.0	147	27388
152	-148.0	148	27536	152	-148.0	148	27536
153	-99.0	99	27635	153	-99.0	99	27635
154	-148.0	148	27783	154	-148.0	148	27783
155	-151.0	151	27934	155	-151.0	151	27934
156	-158.0	158	28092	156	-158.0	158	28092
157	-127.0	127	28219	157	-127.0	127	28219
158	-117.0	117	28336	158	-117.0	117	28336
159	-167.0	167	28503	159	-167.0	167	28503
160	-164.0	164	28667	160	-164.0	164	28667
161	-156.0	156	28823	161	-156.0	156	28823
162	-170.0	170	28993	162	-170.0	170	28993
163	-170.0	170	29163	163	-170.0	170	29163
164	-154.0	154	29317	164	-154.0	154	29317
165	-160.0	160	29477	165	-160.0	160	29477
166	-166.0	166	29643	166	-166.0	166	29643
167	-149.0	149	29792	167	-149.0	149	29792
168	-148.0	148	29940	168	-148.0	148	29940
169	-154.0	154	30094	169	-154.0	154	30094
170	-158.0	158	30252	170	-158.0	158	30252
171	-202.0	202	30454	171	-202.0	202	30454
172	-214.0	214	30668	172	-214.0	214	30668
173	-131.0	131	30799	173	-131.0	131	30799
174	-124.0	124	30923	174	-124.0	124	30923
175	-120.0	120	31043	175	-120.0	120	31043
176	-101.0	101	31144	176	-101.0	101	31144
177	-108.0	108	31252	177	-108.0	108	31252
178	-98.0	98	31350	178	-98.0	98	31350
179	-157.0	157	31507	179	-157.0	157	31507
180	-119.0	119	31626	180	-119.0	119	31626
181	-166.0	166	31792	181	-166.0	166	31792
182	-162.0	162	31954	182	-162.0	162	31954
183	-114.0	114	32068	183	-114.0	114	32068
184	-91.0	91	32159	184	-91.0	91	32159
185	-158.0	158	32317	185	-158.0	158	32317
186	-164.0	164	32481	186	-164.0	164	32481
187	-156.0	156	32637	187	-156.0	156	32637
188	-112.0	112	32749	188	-112.0	112	32749
189	-154.0	154	32903	189	-154.0	154	32903
190	-96.0	96	32999	190	-96.0	96	32999
191	-96.0	96	33095	191	-96.0	96	33095
192	-99.0	99	33194	192	-99.0	99	33194
193	-170.0	170	33364	193	-170.0	170	33364
194	-153.0	153	33517	194	-153.0	153	33517
195	-97.0	97	33614	195	-97.0	97	33614
196	-124.0	124	33738	196	-124.0	124	33738
197	-142.0	142	33880	197	-142.0	142	33880
198	-166.0	166	34046	198	-166.0	166	34046
199	-151.0	151	34197	199	-151.0	151	34197
200	-89.0	89	34286	200	-89.0	89	34286
201	-157.0	157	34443	201	-157.0	157	34443
202	-153.0	153	34596	202	-153.0	153	34596
203	-149.0	149	34745	203	-149.0	149	34745
204	-148.0	148	34893	204	-148.0	148	34893
205	-85.0	85	34978	205	-85.0	85	34978
206	-173.0	173	35151	206	-173.0	173	35151
207	-119.0	119	35270	207	-119.0	119	35270
208	-94.0	94	35364	208	-94.0	94	35364
209	-118.0	118	35482	209	-118.0	118	35482
210	-148.0	148	35630	210	-148.0	148	35630
211	-155.0	155	35785	211	-155.0	155	35785
212	-117.0	117	35902	212	-117.0	117	35902
213	-115.0	115	36017	213	-115.0	115	36017
214	-121.0	121	36138	214	-121.0	121	36138
215	-115.0	115	36253	215	-115.0	115	36253
216	-83.0	83	36336	216	-83.0	83	36336
217	-158.0	158	36494	217	-158.0	158	36494
218	-91.0	91	36585	218	-91.0	91	36585
219	-144.0	144	36729	219	-144.0	144	36729
220	-117.0	117	36846	220	-117.0	117	36846
221	-139.0	139	36985	221	-139.0	139	36985
222	-156.0	156	37141	222	-156.0	156	37141
223	-154.0	154	37295	223	-154.0	154	37295
224	-159.0	159	37454	224	-159.0	159	37454
225	-89.0	89	37543	225	-89.0	89	37543
226	-88.0	88	37631	226	-88.0	88	37631
227	-93.0	93	37724	227	-93.0	93	37724
228	-159.0	159	37883	228	-159.0	159	37883
229	-161.0	161	38044	229	-161.0	161	38044
230	-152.0	152	38196	230	-152.0	152	38196
231	-188.0	188	38384	231	-188.0	188	38384
232	-147.0	147	38531	232	-147.0	147	38531
233	-142.0	142	38673	233	-142.0	142	38673
234	-165.0	165	38838	234	-165.0	165	38838
235	-116.0	116	38954	235	-116.0	116	38954
236	-121.0	121	39075	236	-121.0	121	39075
237	-113.0	113	39188	237	-113.0	113	39188
238	-176.0	176	39364	238	-176.0	176	39364
239	-115.0	115	39479	239	-115.0	115	39479
240	-89.0	89	39568	240	-89.0	89	39568
241	-163.0	163	39731	241	-163.0	163	39731
242	-167.0	167	39898	242	-167.0	167	39898
243	-157.0	157	40055	243	-157.0	157	40055
244	-151.0	151	40206	244	-151.0	151	40206
245	-146.0	146	40352	245	-146.0	146	40352
246	-142.0	142	40494	246	-142.0	142	40494
247	-148.0	148	40642	247	-148.0	148	40642
248	-163.0	163	40805	248	-163.0	163	40805
249	-120.0	120	40925	249	-120.0	120	40925
250	-120.0	120	41045	250	-120.0	120	41045
251	-121.0	121	41166	251	-121.0	121	41166
252	-123.0	123	41289	252	-123.0	123	41289
253	-124.0	124	41413	253	-124.0	124	41413
254	-114.0	114	41527	254	-114.0	114	41527
255	-112.0	112	41639	255	-112.0	112	41639
256	-108.0	108	41747	256	-108.0	108	41747
257	-113.0	113	41860	257	-113.0	113	41860
258	-89.0	89	41949	258	-89.0	89	41949
259	-118.0	118	42067	259	-118.0	118	42067
260	-113.0	113	42180	260	-113.0	113	42180
261	-114.0	114	42294	261	-114.0	114	42294
262	-111.0	111	42405	262	-111.0	111	42405
263	-174.0	174	42579	263	-174.0	174	42579
264	-120.0	120	42699	264	-120.0	120	42699
265	-97.0	97	42796	265	-97.0	97	42796
266	-87.0	87	42883	266	-87.0	87	42883
267	-156.0	156	43039	267	-156.0	156	43039
268	-156.0	156	43195	268	-156.0	156	43195
269	-149.0	149	43344	269	-149.0	149	43344
270	-145.0	145	43489	270	-145.0	145	43489
271	-113.0	113	43602	271	-113.0	113	43602
272	-118.0	118	43720	272	-118.0	118	43720
273	-127.0	127	43847	273	-127.0	127	43847
274	-112.0	112	43959	274	-112.0	112	43959
275	-169.0	169	44128	275	-169.0	169	44128
276	-87.0	87	44215	276	-87.0	87	44215
277	-111.0	111	44326	277	-111.0	111	44326
278	-159.0	159	44485	278	-159.0	159	44485
279	-109.0	109	44594	279	-109.0	109	44594
280	-86.0	86	44680	280	-86.0	86	44680
281	-153.0	153	44833	281	-153.0	153	44833
282	-163.0	163	44996	282	-163.0	163	44996
283	-89.0	89	45085	283	-89.0	89	45085
284	-87.0	87	45172	284	-87.0	87	45172
285	-111.0	111	45283	285	-111.0	111	45283
286	-189.0	189	45472	286	-189.0	189	45472
287	-156.0	156	45628	287	-156.0	156	45628
288	-185.0	185	45813	288	-185.0	185	45813
289	-144.0	144	45957	289	-144.0	144	45957
290	-146.0	146	46103	290	-146.0	146	46103
291	-138.0	138	46241	291	-138.0	138	46241
292	-196.0	196	46437	292	-196.0	196	46437
293	-121.0	121	46558	293	-121.0	121	46558
294	-120.0	120	46678	294	-120.0	120	46678
295	-119.0	119	46797	295	-119.0	119	46797
296	-120.0	120	46917	296	-120.0	120	46917
297	-120.0	120	47037	297	-120.0	120	47037
298	-118.0	118	47155	298	-118.0	118	47155
299	-119.0	119	47274	299	-119.0	119	47274
