Episode	Accumulated Reward	Length	Steps
0	-500.0	500	500
1	-500.0	500	1000
2	-500.0	500	1500
3	-489.0	489	1989
4	-283.0	283	2272
5	-349.0	349	2621
6	-333.0	333	2954
7	-293.0	293	3247
8	-223.0	223	3470
9	-342.0	342	3812
10	-203.0	203	4015
11	-289.0	289	4304
12	-201.0	201	4505
13	-196.0	196	4701
14	-209.0	209	4910
15	-166.0	166	5076
16	-286.0	286	5362
17	-309.0	309	5671
18	-188.0	188	5859
19	-178.0	178	6037
20	-236.0	236	6273
21	-209.0	209	6482
22	-228.0	228	6710
23	-148.0	148	6858
24	-141.0	141	6999
25	-151.0	151	7150
26	-148.0	148	7298
27	-190.0	190	7488
28	-152.0	152	7640
29	-181.0	181	7821
30	-166.0	166	7987
31	-148.0	148	8135
32	-142.0	142	8277
33	-140.0	140	8417
34	-156.0	156	8573
35	-148.0	148	8721
36	-133.0	133	8854
37	-148.0	148	9002
38	-153.0	153	9155
39	-132.0	132	9287
40	-123.0	123	9410
41	-148.0	148	9558
42	-147.0	147	9705
43	-147.0	147	9852
44	-143.0	143	9995
45	-146.0	146	10141
46	-143.0	143	10284
47	-119.0	119	10403
48	-160.0	160	10563
49	-210.0	210	10773
50	-183.0	183	10956
51	-151.0	151	11107
52	-168.0	168	11275
53	-155.0	155	11430
54	-165.0	165	11595
55	-179.0	179	11774
56	-196.0	196	11970
57	-149.0	149	12119
58	-188.0	188	12307
59	-139.0	139	12446
60	-137.0	137	12583
61	-150.0	150	12733
62	-138.0	138	12871
63	-144.0	144	13015
64	-142.0	142	13157
65	-174.0	174	13331
66	-132.0	132	13463
67	-139.0	139	13602
68	-194.0	194	13796
69	-111.0	111	13907
70	-131.0	131	14038
71	-144.0	144	14182
72	-144.0	144	14326
73	-231.0	231	14557
74	-185.0	185	14742
75	-173.0	173	14915
76	-139.0	139	15054
77	-141.0	141	15195
78	-174.0	174	15369
79	-149.0	149	15518
80	-179.0	179	15697
81	-137.0	137	15834
82	-188.0	188	16022
83	-156.0	156	16178
84	-132.0	132	16310
85	-173.0	173	16483
86	-203.0	203	16686
87	-133.0	133	16819
88	-145.0	145	16964
89	-126.0	126	17090
90	-110.0	110	17200
91	-182.0	182	17382
92	-164.0	164	17546
93	-105.0	105	17651
94	-163.0	163	17814
95	-144.0	144	17958
96	-106.0	106	18064
97	-147.0	147	18211
98	-139.0	139	18350
99	-138.0	138	18488
100	-130.0	130	18618
101	-164.0	164	18782
102	-167.0	167	18949
103	-165.0	165	19114
104	-166.0	166	19280
105	-147.0	147	19427
106	-145.0	145	19572
107	-194.0	194	19766
108	-143.0	143	19909
109	-143.0	143	20052
110	-146.0	146	20198
111	-142.0	142	20340
112	-146.0	146	20486
113	-144.0	144	20630
114	-138.0	138	20768
115	-141.0	141	20909
116	-148.0	148	21057
117	-185.0	185	21242
118	-176.0	176	21418
119	-179.0	179	21597
120	-170.0	170	21767
121	-147.0	147	21914
