Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
162	-21	21	4131	162	-21	21	4131
163	-19	19	4150	163	-19	19	4150
164	-21	21	4171	164	-21	21	4171
165	-23	23	4194	165	-23	23	4194
166	-21	21	4215	166	-21	21	4215
167	-20	20	4235	167	-20	20	4235
168	-19	19	4254	168	-19	19	4254
169	-19	19	4273	169	-19	19	4273
170	-30	30	4303	170	-30	30	4303
171	-25	25	4328	171	-25	25	4328
172	-22	22	4350	172	-22	22	4350
173	-27	27	4377	173	-27	27	4377
174	-27	27	4404	174	-27	27	4404
175	-25	25	4429	175	-25	25	4429
176	-20	20	4449	176	-20	20	4449
177	-29	29	4478	177	-29	29	4478
178	-19	19	4497	178	-19	19	4497
179	-22	22	4519	179	-22	22	4519
180	-23	23	4542	180	-23	23	4542
181	-20	20	4562	181	-20	20	4562
182	-22	22	4584	182	-22	22	4584
183	-20	20	4604	183	-20	20	4604
184	-41	41	4645	184	-41	41	4645
185	-32	32	4677	185	-32	32	4677
186	-22	22	4699	186	-22	22	4699
187	-20	20	4719	187	-20	20	4719
188	-24	24	4743	188	-24	24	4743
189	-21	21	4764	189	-21	21	4764
190	-21	21	4785	190	-21	21	4785
191	-29	29	4814	191	-29	29	4814
192	-23	23	4837	192	-23	23	4837
193	-19	19	4856	193	-19	19	4856
194	-21	21	4877	194	-21	21	4877
195	-19	19	4896	195	-19	19	4896
196	-21	21	4917	196	-21	21	4917
197	-21	21	4938	197	-21	21	4938
198	-21	21	4959	198	-21	21	4959
199	-19	19	4978	199	-19	19	4978
