Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
63	-133	34	5035	63	-133	34	5035	63	-133	34	5035	63	-133	34	5035	63	-133	34	5035
64	-19	19	5054	64	-19	19	5054	64	-19	19	5054	64	-19	19	5054	64	-19	19	5054
65	-17	17	5071	65	-17	17	5071	65	-17	17	5071	65	-17	17	5071	65	-17	17	5071
66	-18	18	5089	66	-18	18	5089	66	-18	18	5089	66	-18	18	5089	66	-18	18	5089
67	-22	22	5111	67	-22	22	5111	67	-22	22	5111	67	-22	22	5111	67	-22	22	5111
68	-1615	1219	6330	68	-1615	1219	6330	68	-1615	1219	6330	68	-1615	1219	6330	68	-1615	1219	6330
69	-631	532	6862	69	-631	532	6862	69	-631	532	6862	69	-631	532	6862	69	-631	532	6862
70	-60	60	6922	70	-60	60	6922	70	-60	60	6922	70	-60	60	6922	70	-60	60	6922
71	-37	37	6959	71	-37	37	6959	71	-37	37	6959	71	-37	37	6959	71	-37	37	6959
72	-411	312	7271	72	-411	312	7271	72	-411	312	7271	72	-411	312	7271	72	-411	312	7271
73	-64	64	7335	73	-64	64	7335	73	-64	64	7335	73	-64	64	7335	73	-64	64	7335
74	-74	74	7409	74	-74	74	7409	74	-74	74	7409	74	-74	74	7409	74	-74	74	7409
75	-32	32	7441	75	-32	32	7441	75	-32	32	7441	75	-32	32	7441	75	-32	32	7441
76	-202	103	7544	76	-202	103	7544	76	-202	103	7544	76	-202	103	7544	76	-202	103	7544
77	-27	27	7571	77	-27	27	7571	77	-27	27	7571	77	-27	27	7571	77	-27	27	7571
78	-121	22	7593	78	-121	22	7593	78	-121	22	7593	78	-121	22	7593	78	-121	22	7593
79	-20	20	7613	79	-20	20	7613	79	-20	20	7613	79	-20	20	7613	79	-20	20	7613
80	-25	25	7638	80	-25	25	7638	80	-25	25	7638	80	-25	25	7638	80	-25	25	7638
81	-701	305	7943	81	-701	305	7943	81	-701	305	7943	81	-701	305	7943	81	-701	305	7943
82	-30	30	7973	82	-30	30	7973	82	-30	30	7973	82	-30	30	7973	82	-30	30	7973
83	-19	19	7992	83	-19	19	7992	83	-19	19	7992	83	-19	19	7992	83	-19	19	7992
84	-20	20	8012	84	-20	20	8012	84	-20	20	8012	84	-20	20	8012	84	-20	20	8012
85	-28	28	8040	85	-28	28	8040	85	-28	28	8040	85	-28	28	8040	85	-28	28	8040
86	-52	52	8092	86	-52	52	8092	86	-52	52	8092	86	-52	52	8092	86	-52	52	8092
87	-77	77	8169	87	-77	77	8169	87	-77	77	8169	87	-77	77	8169	87	-77	77	8169
88	-143	44	8213	88	-143	44	8213	88	-143	44	8213	88	-143	44	8213	88	-143	44	8213
