Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	-71	71	71	0	-71	71	71
1	-52	52	123	1	-52	52	123
2	-36	36	159	2	-36	36	159
3	-26	26	185	3	-26	26	185
4	-21	21	206	4	-21	21	206
5	-24	24	230	5	-24	24	230
6	-23	23	253	6	-23	23	253
7	-1117	820	1073	7	-1117	820	1073
8	-41	41	1114	8	-41	41	1114
9	-118	118	1232	9	-118	118	1232
10	-59	59	1291	10	-59	59	1291
11	-130	31	1322	11	-130	31	1322
12	-19	19	1341	12	-19	19	1341
13	-28	28	1369	13	-28	28	1369
14	-21	21	1390	14	-21	21	1390
15	-21	21	1411	15	-21	21	1411
16	-19	19	1430	16	-19	19	1430
17	-25	25	1455	17	-25	25	1455
18	-21	21	1476	18	-21	21	1476
19	-19	19	1495	19	-19	19	1495
20	-23	23	1518	20	-23	23	1518
21	-31	31	1549	21	-31	31	1549
22	-29	29	1578	22	-29	29	1578
23	-25	25	1603	23	-25	25	1603
24	-20	20	1623	24	-20	20	1623
25	-24	24	1647	25	-24	24	1647
26	-215	215	1862	26	-215	215	1862
27	-74	74	1936	27	-74	74	1936
28	-33	33	1969	28	-33	33	1969
29	-23	23	1992	29	-23	23	1992
30	-25	25	2017	30	-25	25	2017
31	-25	25	2042	31	-25	25	2042
32	-27	27	2069	32	-27	27	2069
33	-848	650	2719	33	-848	650	2719
34	-299	299	3018	34	-299	299	3018
35	-141	42	3060	35	-141	42	3060
36	-47	47	3107	36	-47	47	3107
37	-31	31	3138	37	-31	31	3138
38	-23	23	3161	38	-23	23	3161
39	-28	28	3189	39	-28	28	3189
40	-122	23	3212	40	-122	23	3212
41	-18	18	3230	41	-18	18	3230
42	-23	23	3253	42	-23	23	3253
43	-23	23	3276	43	-23	23	3276
44	-20	20	3296	44	-20	20	3296
45	-119	20	3316	45	-119	20	3316
46	-20	20	3336	46	-20	20	3336
47	-17	17	3353	47	-17	17	3353
48	-17	17	3370	48	-17	17	3370
49	-19	19	3389	49	-19	19	3389
50	-17	17	3406	50	-17	17	3406
51	-27	27	3433	51	-27	27	3433
52	-94	94	3527	52	-94	94	3527
53	-25	25	3552	53	-25	25	3552
54	-44	44	3596	54	-44	44	3596
55	-23	23	3619	55	-23	23	3619
56	-18	18	3637	56	-18	18	3637
57	-119	20	3657	57	-119	20	3657
58	-22	22	3679	58	-22	22	3679
59	-121	22	3701	59	-121	22	3701
60	-26	26	3727	60	-26	26	3727
61	-17	17	3744	61	-17	17	3744
62	-17	17	3761	62	-17	17	3761
63	-124	25	3786	63	-124	25	3786
64	-99	99	3885	64	-99	99	3885
65	-36	36	3921	65	-36	36	3921
66	-27	27	3948	66	-27	27	3948
67	-54	54	4002	67	-54	54	4002
68	-47	47	4049	68	-47	47	4049
69	-25	25	4074	69	-25	25	4074
70	-23	23	4097	70	-23	23	4097
71	-23	23	4120	71	-23	23	4120
72	-28	28	4148	72	-28	28	4148
73	-322	124	4272	73	-322	124	4272
74	-17	17	4289	74	-17	17	4289
75	-22	22	4311	75	-22	22	4311
76	-20	20	4331	76	-20	20	4331
77	-30	30	4361	77	-30	30	4361
78	-40	40	4401	78	-40	40	4401
79	-32	32	4433	79	-32	32	4433
80	-25	25	4458	80	-25	25	4458
81	-117	18	4476	81	-117	18	4476
82	-19	19	4495	82	-19	19	4495
83	-19	19	4514	83	-19	19	4514
84	-24	24	4538	84	-24	24	4538
85	-17	17	4555	85	-17	17	4555
86	-19	19	4574	86	-19	19	4574
87	-120	21	4595	87	-120	21	4595
88	-17	17	4612	88	-17	17	4612
89	-21	21	4633	89	-21	21	4633
90	-18	18	4651	90	-18	18	4651
91	-19	19	4670	91	-19	19	4670
92	-18	18	4688	92	-18	18	4688
93	-20	20	4708	93	-20	20	4708
94	-123	24	4732	94	-123	24	4732
95	-31	31	4763	95	-31	31	4763
96	-75	75	4838	96	-75	75	4838
97	-28	28	4866	97	-28	28	4866
98	-27	27	4893	98	-27	27	4893
99	-21	21	4914	99	-21	21	4914
100	-19	19	4933	100	-19	19	4933
101	-21	21	4954	101	-21	21	4954
102	-19	19	4973	102	-19	19	4973
103	-22	22	4995	103	-22	22	4995
104	-29	29	5024	104	-29	29	5024
105	-32	32	5056	105	-32	32	5056
106	-39	39	5095	106	-39	39	5095
107	-131	32	5127	107	-131	32	5127
108	-26	26	5153	108	-26	26	5153
109	-33	33	5186	109	-33	33	5186
110	-128	29	5215	110	-128	29	5215
111	-29	29	5244	111	-29	29	5244
112	-30	30	5274	112	-30	30	5274
113	-62	62	5336	113	-62	62	5336
114	-33	33	5369	114	-33	33	5369
115	-21	21	5390	115	-21	21	5390
116	-19	19	5409	116	-19	19	5409
117	-19	19	5428	117	-19	19	5428
118	-22	22	5450	118	-22	22	5450
119	-24	24	5474	119	-24	24	5474
120	-26	26	5500	120	-26	26	5500
121	-25	25	5525	121	-25	25	5525
122	-20	20	5545	122	-20	20	5545
123	-21	21	5566	123	-21	21	5566
