Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
74	-19	19	3029	74	-19	19	3029	74	-19	19	3029	74	-19	19	3029	74	-19	19	3029	74	-19	19	3029	74	-19	19	3029	74	-19	19	3029	74	-19	19	3029	74	-19	19	3029	74	-19	19	3029	74	-19	19	3029	74	-19	19	3029	74	-19	19	3029	74	-19	19	3029	74	-19	19	3029
75	-118	19	3048	75	-118	19	3048	75	-118	19	3048	75	-118	19	3048	75	-118	19	3048	75	-118	19	3048	75	-118	19	3048	75	-118	19	3048	75	-118	19	3048	75	-118	19	3048	75	-118	19	3048	75	-118	19	3048	75	-118	19	3048	75	-118	19	3048	75	-118	19	3048	75	-118	19	3048
76	-13	13	3061	76	-13	13	3061	76	-13	13	3061	76	-13	13	3061	76	-13	13	3061	76	-13	13	3061	76	-13	13	3061	76	-13	13	3061	76	-13	13	3061	76	-13	13	3061	76	-13	13	3061	76	-13	13	3061	76	-13	13	3061	76	-13	13	3061	76	-13	13	3061	76	-13	13	3061
77	-122	23	3084	77	-122	23	3084	77	-122	23	3084	77	-122	23	3084	77	-122	23	3084	77	-122	23	3084	77	-122	23	3084	77	-122	23	3084	77	-122	23	3084	77	-122	23	3084	77	-122	23	3084	77	-122	23	3084	77	-122	23	3084	77	-122	23	3084	77	-122	23	3084	77	-122	23	3084
78	-14	14	3098	78	-14	14	3098	78	-14	14	3098	78	-14	14	3098	78	-14	14	3098	78	-14	14	3098	78	-14	14	3098	78	-14	14	3098	78	-14	14	3098	78	-14	14	3098	78	-14	14	3098	78	-14	14	3098	78	-14	14	3098	78	-14	14	3098	78	-14	14	3098	78	-14	14	3098
79	-13	13	3111	79	-13	13	3111	79	-13	13	3111	79	-13	13	3111	79	-13	13	3111	79	-13	13	3111	79	-13	13	3111	79	-13	13	3111	79	-13	13	3111	79	-13	13	3111	79	-13	13	3111	79	-13	13	3111	79	-13	13	3111	79	-13	13	3111	79	-13	13	3111	79	-13	13	3111
80	-116	17	3128	80	-116	17	3128	80	-116	17	3128	80	-116	17	3128	80	-116	17	3128	80	-116	17	3128	80	-116	17	3128	80	-116	17	3128	80	-116	17	3128	80	-116	17	3128	80	-116	17	3128	80	-116	17	3128	80	-116	17	3128	80	-116	17	3128	80	-116	17	3128	80	-116	17	3128
81	-16	16	3144	81	-16	16	3144	81	-16	16	3144	81	-16	16	3144	81	-16	16	3144	81	-16	16	3144	81	-16	16	3144	81	-16	16	3144	81	-16	16	3144	81	-16	16	3144	81	-16	16	3144	81	-16	16	3144	81	-16	16	3144	81	-16	16	3144	81	-16	16	3144	81	-16	16	3144
82	-330	33	3177	82	-330	33	3177	82	-330	33	3177	82	-330	33	3177	82	-330	33	3177	82	-330	33	3177	82	-330	33	3177	82	-330	33	3177	82	-330	33	3177	82	-330	33	3177	82	-330	33	3177	82	-330	33	3177	82	-330	33	3177	82	-330	33	3177	82	-330	33	3177	82	-330	33	3177
83	-117	18	3195	83	-117	18	3195	83	-117	18	3195	83	-117	18	3195	83	-117	18	3195	83	-117	18	3195	83	-117	18	3195	83	-117	18	3195	83	-117	18	3195	83	-117	18	3195	83	-117	18	3195	83	-117	18	3195	83	-117	18	3195	83	-117	18	3195	83	-117	18	3195	83	-117	18	3195
84	-13	13	3208	84	-13	13	3208	84	-13	13	3208	84	-13	13	3208	84	-13	13	3208	84	-13	13	3208	84	-13	13	3208	84	-13	13	3208	84	-13	13	3208	84	-13	13	3208	84	-13	13	3208	84	-13	13	3208	84	-13	13	3208	84	-13	13	3208	84	-13	13	3208	84	-13	13	3208
85	-15	15	3223	85	-15	15	3223	85	-15	15	3223	85	-15	15	3223	85	-15	15	3223	85	-15	15	3223	85	-15	15	3223	85	-15	15	3223	85	-15	15	3223	85	-15	15	3223	85	-15	15	3223	85	-15	15	3223	85	-15	15	3223	85	-15	15	3223	85	-15	15	3223	85	-15	15	3223
86	-13	13	3236	86	-13	13	3236	86	-13	13	3236	86	-13	13	3236	86	-13	13	3236	86	-13	13	3236	86	-13	13	3236	86	-13	13	3236	86	-13	13	3236	86	-13	13	3236	86	-13	13	3236	86	-13	13	3236	86	-13	13	3236	86	-13	13	3236	86	-13	13	3236	86	-13	13	3236
87	-14	14	3250	87	-14	14	3250	87	-14	14	3250	87	-14	14	3250	87	-14	14	3250	87	-14	14	3250	87	-14	14	3250	87	-14	14	3250	87	-14	14	3250	87	-14	14	3250	87	-14	14	3250	87	-14	14	3250	87	-14	14	3250	87	-14	14	3250	87	-14	14	3250	87	-14	14	3250
88	-13	13	3263	88	-13	13	3263	88	-13	13	3263	88	-13	13	3263	88	-13	13	3263	88	-13	13	3263	88	-13	13	3263	88	-13	13	3263	88	-13	13	3263	88	-13	13	3263	88	-13	13	3263	88	-13	13	3263	88	-13	13	3263	88	-13	13	3263	88	-13	13	3263	88	-13	13	3263
89	-13	13	3276	89	-13	13	3276	89	-13	13	3276	89	-13	13	3276	89	-13	13	3276	89	-13	13	3276	89	-13	13	3276	89	-13	13	3276	89	-13	13	3276	89	-13	13	3276	89	-13	13	3276	89	-13	13	3276	89	-13	13	3276	89	-13	13	3276	89	-13	13	3276	89	-13	13	3276
90	-13	13	3289	90	-13	13	3289	90	-13	13	3289	90	-13	13	3289	90	-13	13	3289	90	-13	13	3289	90	-13	13	3289	90	-13	13	3289	90	-13	13	3289	90	-13	13	3289	90	-13	13	3289	90	-13	13	3289	90	-13	13	3289	90	-13	13	3289	90	-13	13	3289	90	-13	13	3289
91	-15	15	3304	91	-15	15	3304	91	-15	15	3304	91	-15	15	3304	91	-15	15	3304	91	-15	15	3304	91	-15	15	3304	91	-15	15	3304	91	-15	15	3304	91	-15	15	3304	91	-15	15	3304	91	-15	15	3304	91	-15	15	3304	91	-15	15	3304	91	-15	15	3304	91	-15	15	3304
92	-17	17	3321	92	-17	17	3321	92	-17	17	3321	92	-17	17	3321	92	-17	17	3321	92	-17	17	3321	92	-17	17	3321	92	-17	17	3321	92	-17	17	3321	92	-17	17	3321	92	-17	17	3321	92	-17	17	3321	92	-17	17	3321	92	-17	17	3321	92	-17	17	3321	92	-17	17	3321
93	-15	15	3336	93	-15	15	3336	93	-15	15	3336	93	-15	15	3336	93	-15	15	3336	93	-15	15	3336	93	-15	15	3336	93	-15	15	3336	93	-15	15	3336	93	-15	15	3336	93	-15	15	3336	93	-15	15	3336	93	-15	15	3336	93	-15	15	3336	93	-15	15	3336	93	-15	15	3336
94	-16	16	3352	94	-16	16	3352	94	-16	16	3352	94	-16	16	3352	94	-16	16	3352	94	-16	16	3352	94	-16	16	3352	94	-16	16	3352	94	-16	16	3352	94	-16	16	3352	94	-16	16	3352	94	-16	16	3352	94	-16	16	3352	94	-16	16	3352	94	-16	16	3352	94	-16	16	3352
95	-13	13	3365	95	-13	13	3365	95	-13	13	3365	95	-13	13	3365	95	-13	13	3365	95	-13	13	3365	95	-13	13	3365	95	-13	13	3365	95	-13	13	3365	95	-13	13	3365	95	-13	13	3365	95	-13	13	3365	95	-13	13	3365	95	-13	13	3365	95	-13	13	3365	95	-13	13	3365
96	-13	13	3378	96	-13	13	3378	96	-13	13	3378	96	-13	13	3378	96	-13	13	3378	96	-13	13	3378	96	-13	13	3378	96	-13	13	3378	96	-13	13	3378	96	-13	13	3378	96	-13	13	3378	96	-13	13	3378	96	-13	13	3378	96	-13	13	3378	96	-13	13	3378	96	-13	13	3378
97	-13	13	3391	97	-13	13	3391	97	-13	13	3391	97	-13	13	3391	97	-13	13	3391	97	-13	13	3391	97	-13	13	3391	97	-13	13	3391	97	-13	13	3391	97	-13	13	3391	97	-13	13	3391	97	-13	13	3391	97	-13	13	3391	97	-13	13	3391	97	-13	13	3391	97	-13	13	3391
98	-129	30	3421	98	-129	30	3421	98	-129	30	3421	98	-129	30	3421	98	-129	30	3421	98	-129	30	3421	98	-129	30	3421	98	-129	30	3421	98	-129	30	3421	98	-129	30	3421	98	-129	30	3421	98	-129	30	3421	98	-129	30	3421	98	-129	30	3421	98	-129	30	3421	98	-129	30	3421
99	-13	13	3434	99	-13	13	3434	99	-13	13	3434	99	-13	13	3434	99	-13	13	3434	99	-13	13	3434	99	-13	13	3434	99	-13	13	3434	99	-13	13	3434	99	-13	13	3434	99	-13	13	3434	99	-13	13	3434	99	-13	13	3434	99	-13	13	3434	99	-13	13	3434	99	-13	13	3434
100	-16	16	3450	100	-16	16	3450	100	-16	16	3450	100	-16	16	3450	100	-16	16	3450	100	-16	16	3450	100	-16	16	3450	100	-16	16	3450	100	-16	16	3450	100	-16	16	3450	100	-16	16	3450	100	-16	16	3450	100	-16	16	3450	100	-16	16	3450	100	-16	16	3450	100	-16	16	3450
101	-13	13	3463	101	-13	13	3463	101	-13	13	3463	101	-13	13	3463	101	-13	13	3463	101	-13	13	3463	101	-13	13	3463	101	-13	13	3463	101	-13	13	3463	101	-13	13	3463	101	-13	13	3463	101	-13	13	3463	101	-13	13	3463	101	-13	13	3463	101	-13	13	3463	101	-13	13	3463
102	-216	18	3481	102	-216	18	3481	102	-216	18	3481	102	-216	18	3481	102	-216	18	3481	102	-216	18	3481	102	-216	18	3481	102	-216	18	3481	102	-216	18	3481	102	-216	18	3481	102	-216	18	3481	102	-216	18	3481	102	-216	18	3481	102	-216	18	3481	102	-216	18	3481	102	-216	18	3481
103	-13	13	3494	103	-13	13	3494	103	-13	13	3494	103	-13	13	3494	103	-13	13	3494	103	-13	13	3494	103	-13	13	3494	103	-13	13	3494	103	-13	13	3494	103	-13	13	3494	103	-13	13	3494	103	-13	13	3494	103	-13	13	3494	103	-13	13	3494	103	-13	13	3494	103	-13	13	3494
104	-28	28	3522	104	-28	28	3522	104	-28	28	3522	104	-28	28	3522	104	-28	28	3522	104	-28	28	3522	104	-28	28	3522	104	-28	28	3522	104	-28	28	3522	104	-28	28	3522	104	-28	28	3522	104	-28	28	3522	104	-28	28	3522	104	-28	28	3522	104	-28	28	3522	104	-28	28	3522
105	-22	22	3544	105	-22	22	3544	105	-22	22	3544	105	-22	22	3544	105	-22	22	3544	105	-22	22	3544	105	-22	22	3544	105	-22	22	3544	105	-22	22	3544	105	-22	22	3544	105	-22	22	3544	105	-22	22	3544	105	-22	22	3544	105	-22	22	3544	105	-22	22	3544	105	-22	22	3544
106	-13	13	3557	106	-13	13	3557	106	-13	13	3557	106	-13	13	3557	106	-13	13	3557	106	-13	13	3557	106	-13	13	3557	106	-13	13	3557	106	-13	13	3557	106	-13	13	3557	106	-13	13	3557	106	-13	13	3557	106	-13	13	3557	106	-13	13	3557	106	-13	13	3557	106	-13	13	3557
107	-28	28	3585	107	-28	28	3585	107	-28	28	3585	107	-28	28	3585	107	-28	28	3585	107	-28	28	3585	107	-28	28	3585	107	-28	28	3585	107	-28	28	3585	107	-28	28	3585	107	-28	28	3585	107	-28	28	3585	107	-28	28	3585	107	-28	28	3585	107	-28	28	3585	107	-28	28	3585
108	-123	24	3609	108	-123	24	3609	108	-123	24	3609	108	-123	24	3609	108	-123	24	3609	108	-123	24	3609	108	-123	24	3609	108	-123	24	3609	108	-123	24	3609	108	-123	24	3609	108	-123	24	3609	108	-123	24	3609	108	-123	24	3609	108	-123	24	3609	108	-123	24	3609	108	-123	24	3609
109	-17	17	3626	109	-17	17	3626	109	-17	17	3626	109	-17	17	3626	109	-17	17	3626	109	-17	17	3626	109	-17	17	3626	109	-17	17	3626	109	-17	17	3626	109	-17	17	3626	109	-17	17	3626	109	-17	17	3626	109	-17	17	3626	109	-17	17	3626	109	-17	17	3626	109	-17	17	3626
110	-13	13	3639	110	-13	13	3639	110	-13	13	3639	110	-13	13	3639	110	-13	13	3639	110	-13	13	3639	110	-13	13	3639	110	-13	13	3639	110	-13	13	3639	110	-13	13	3639	110	-13	13	3639	110	-13	13	3639	110	-13	13	3639	110	-13	13	3639	110	-13	13	3639	110	-13	13	3639
111	-124	25	3664	111	-124	25	3664	111	-124	25	3664	111	-124	25	3664	111	-124	25	3664	111	-124	25	3664	111	-124	25	3664	111	-124	25	3664	111	-124	25	3664	111	-124	25	3664	111	-124	25	3664	111	-124	25	3664	111	-124	25	3664	111	-124	25	3664	111	-124	25	3664	111	-124	25	3664
112	-120	21	3685	112	-120	21	3685	112	-120	21	3685	112	-120	21	3685	112	-120	21	3685	112	-120	21	3685	112	-120	21	3685	112	-120	21	3685	112	-120	21	3685	112	-120	21	3685	112	-120	21	3685	112	-120	21	3685	112	-120	21	3685	112	-120	21	3685	112	-120	21	3685	112	-120	21	3685
113	-15	15	3700	113	-15	15	3700	113	-15	15	3700	113	-15	15	3700	113	-15	15	3700	113	-15	15	3700	113	-15	15	3700	113	-15	15	3700	113	-15	15	3700	113	-15	15	3700	113	-15	15	3700	113	-15	15	3700	113	-15	15	3700	113	-15	15	3700	113	-15	15	3700	113	-15	15	3700
114	-13	13	3713	114	-13	13	3713	114	-13	13	3713	114	-13	13	3713	114	-13	13	3713	114	-13	13	3713	114	-13	13	3713	114	-13	13	3713	114	-13	13	3713	114	-13	13	3713	114	-13	13	3713	114	-13	13	3713	114	-13	13	3713	114	-13	13	3713	114	-13	13	3713	114	-13	13	3713
115	-13	13	3726	115	-13	13	3726	115	-13	13	3726	115	-13	13	3726	115	-13	13	3726	115	-13	13	3726	115	-13	13	3726	115	-13	13	3726	115	-13	13	3726	115	-13	13	3726	115	-13	13	3726	115	-13	13	3726	115	-13	13	3726	115	-13	13	3726	115	-13	13	3726	115	-13	13	3726
116	-17	17	3743	116	-17	17	3743	116	-17	17	3743	116	-17	17	3743	116	-17	17	3743	116	-17	17	3743	116	-17	17	3743	116	-17	17	3743	116	-17	17	3743	116	-17	17	3743	116	-17	17	3743	116	-17	17	3743	116	-17	17	3743	116	-17	17	3743	116	-17	17	3743	116	-17	17	3743
117	-15	15	3758	117	-15	15	3758	117	-15	15	3758	117	-15	15	3758	117	-15	15	3758	117	-15	15	3758	117	-15	15	3758	117	-15	15	3758	117	-15	15	3758	117	-15	15	3758	117	-15	15	3758	117	-15	15	3758	117	-15	15	3758	117	-15	15	3758	117	-15	15	3758	117	-15	15	3758
118	-13	13	3771	118	-13	13	3771	118	-13	13	3771	118	-13	13	3771	118	-13	13	3771	118	-13	13	3771	118	-13	13	3771	118	-13	13	3771	118	-13	13	3771	118	-13	13	3771	118	-13	13	3771	118	-13	13	3771	118	-13	13	3771	118	-13	13	3771	118	-13	13	3771	118	-13	13	3771
119	-13	13	3784	119	-13	13	3784	119	-13	13	3784	119	-13	13	3784	119	-13	13	3784	119	-13	13	3784	119	-13	13	3784	119	-13	13	3784	119	-13	13	3784	119	-13	13	3784	119	-13	13	3784	119	-13	13	3784	119	-13	13	3784	119	-13	13	3784	119	-13	13	3784	119	-13	13	3784
120	-115	16	3800	120	-115	16	3800	120	-115	16	3800	120	-115	16	3800	120	-115	16	3800	120	-115	16	3800	120	-115	16	3800	120	-115	16	3800	120	-115	16	3800	120	-115	16	3800	120	-115	16	3800	120	-115	16	3800	120	-115	16	3800	120	-115	16	3800	120	-115	16	3800	120	-115	16	3800
121	-15	15	3815	121	-15	15	3815	121	-15	15	3815	121	-15	15	3815	121	-15	15	3815	121	-15	15	3815	121	-15	15	3815	121	-15	15	3815	121	-15	15	3815	121	-15	15	3815	121	-15	15	3815	121	-15	15	3815	121	-15	15	3815	121	-15	15	3815	121	-15	15	3815	121	-15	15	3815
122	-335	38	3853	122	-335	38	3853	122	-335	38	3853	122	-335	38	3853	122	-335	38	3853	122	-335	38	3853	122	-335	38	3853	122	-335	38	3853	122	-335	38	3853	122	-335	38	3853	122	-335	38	3853	122	-335	38	3853	122	-335	38	3853	122	-335	38	3853	122	-335	38	3853	122	-335	38	3853
123	-15	15	3868	123	-15	15	3868	123	-15	15	3868	123	-15	15	3868	123	-15	15	3868	123	-15	15	3868	123	-15	15	3868	123	-15	15	3868	123	-15	15	3868	123	-15	15	3868	123	-15	15	3868	123	-15	15	3868	123	-15	15	3868	123	-15	15	3868	123	-15	15	3868	123	-15	15	3868
124	-14	14	3882	124	-14	14	3882	124	-14	14	3882	124	-14	14	3882	124	-14	14	3882	124	-14	14	3882	124	-14	14	3882	124	-14	14	3882	124	-14	14	3882	124	-14	14	3882	124	-14	14	3882	124	-14	14	3882	124	-14	14	3882	124	-14	14	3882	124	-14	14	3882	124	-14	14	3882
125	-13	13	3895	125	-13	13	3895	125	-13	13	3895	125	-13	13	3895	125	-13	13	3895	125	-13	13	3895	125	-13	13	3895	125	-13	13	3895	125	-13	13	3895	125	-13	13	3895	125	-13	13	3895	125	-13	13	3895	125	-13	13	3895	125	-13	13	3895	125	-13	13	3895	125	-13	13	3895
126	-133	34	3929	126	-133	34	3929	126	-133	34	3929	126	-133	34	3929	126	-133	34	3929	126	-133	34	3929	126	-133	34	3929	126	-133	34	3929	126	-133	34	3929	126	-133	34	3929	126	-133	34	3929	126	-133	34	3929	126	-133	34	3929	126	-133	34	3929	126	-133	34	3929	126	-133	34	3929
127	-13	13	3942	127	-13	13	3942	127	-13	13	3942	127	-13	13	3942	127	-13	13	3942	127	-13	13	3942	127	-13	13	3942	127	-13	13	3942	127	-13	13	3942	127	-13	13	3942	127	-13	13	3942	127	-13	13	3942	127	-13	13	3942	127	-13	13	3942	127	-13	13	3942	127	-13	13	3942
128	-13	13	3955	128	-13	13	3955	128	-13	13	3955	128	-13	13	3955	128	-13	13	3955	128	-13	13	3955	128	-13	13	3955	128	-13	13	3955	128	-13	13	3955	128	-13	13	3955	128	-13	13	3955	128	-13	13	3955	128	-13	13	3955	128	-13	13	3955	128	-13	13	3955	128	-13	13	3955
129	-28	28	3983	129	-28	28	3983	129	-28	28	3983	129	-28	28	3983	129	-28	28	3983	129	-28	28	3983	129	-28	28	3983	129	-28	28	3983	129	-28	28	3983	129	-28	28	3983	129	-28	28	3983	129	-28	28	3983	129	-28	28	3983	129	-28	28	3983	129	-28	28	3983	129	-28	28	3983
130	-15	15	3998	130	-15	15	3998	130	-15	15	3998	130	-15	15	3998	130	-15	15	3998	130	-15	15	3998	130	-15	15	3998	130	-15	15	3998	130	-15	15	3998	130	-15	15	3998	130	-15	15	3998	130	-15	15	3998	130	-15	15	3998	130	-15	15	3998	130	-15	15	3998	130	-15	15	3998
131	-13	13	4011	131	-13	13	4011	131	-13	13	4011	131	-13	13	4011	131	-13	13	4011	131	-13	13	4011	131	-13	13	4011	131	-13	13	4011	131	-13	13	4011	131	-13	13	4011	131	-13	13	4011	131	-13	13	4011	131	-13	13	4011	131	-13	13	4011	131	-13	13	4011	131	-13	13	4011
132	-123	24	4035	132	-123	24	4035	132	-123	24	4035	132	-123	24	4035	132	-123	24	4035	132	-123	24	4035	132	-123	24	4035	132	-123	24	4035	132	-123	24	4035	132	-123	24	4035	132	-123	24	4035	132	-123	24	4035	132	-123	24	4035	132	-123	24	4035	132	-123	24	4035	132	-123	24	4035
133	-15	15	4050	133	-15	15	4050	133	-15	15	4050	133	-15	15	4050	133	-15	15	4050	133	-15	15	4050	133	-15	15	4050	133	-15	15	4050	133	-15	15	4050	133	-15	15	4050	133	-15	15	4050	133	-15	15	4050	133	-15	15	4050	133	-15	15	4050	133	-15	15	4050	133	-15	15	4050
134	-15	15	4065	134	-15	15	4065	134	-15	15	4065	134	-15	15	4065	134	-15	15	4065	134	-15	15	4065	134	-15	15	4065	134	-15	15	4065	134	-15	15	4065	134	-15	15	4065	134	-15	15	4065	134	-15	15	4065	134	-15	15	4065	134	-15	15	4065	134	-15	15	4065	134	-15	15	4065
135	-13	13	4078	135	-13	13	4078	135	-13	13	4078	135	-13	13	4078	135	-13	13	4078	135	-13	13	4078	135	-13	13	4078	135	-13	13	4078	135	-13	13	4078	135	-13	13	4078	135	-13	13	4078	135	-13	13	4078	135	-13	13	4078	135	-13	13	4078	135	-13	13	4078	135	-13	13	4078
136	-13	13	4091	136	-13	13	4091	136	-13	13	4091	136	-13	13	4091	136	-13	13	4091	136	-13	13	4091	136	-13	13	4091	136	-13	13	4091	136	-13	13	4091	136	-13	13	4091	136	-13	13	4091	136	-13	13	4091	136	-13	13	4091	136	-13	13	4091	136	-13	13	4091	136	-13	13	4091
137	-331	34	4125	137	-331	34	4125	137	-331	34	4125	137	-331	34	4125	137	-331	34	4125	137	-331	34	4125	137	-331	34	4125	137	-331	34	4125	137	-331	34	4125	137	-331	34	4125	137	-331	34	4125	137	-331	34	4125	137	-331	34	4125	137	-331	34	4125	137	-331	34	4125	137	-331	34	4125
138	-13	13	4138	138	-13	13	4138	138	-13	13	4138	138	-13	13	4138	138	-13	13	4138	138	-13	13	4138	138	-13	13	4138	138	-13	13	4138	138	-13	13	4138	138	-13	13	4138	138	-13	13	4138	138	-13	13	4138	138	-13	13	4138	138	-13	13	4138	138	-13	13	4138	138	-13	13	4138
139	-231	33	4171	139	-231	33	4171	139	-231	33	4171	139	-231	33	4171	139	-231	33	4171	139	-231	33	4171	139	-231	33	4171	139	-231	33	4171	139	-231	33	4171	139	-231	33	4171	139	-231	33	4171	139	-231	33	4171	139	-231	33	4171	139	-231	33	4171	139	-231	33	4171	139	-231	33	4171
140	-17	17	4188	140	-17	17	4188	140	-17	17	4188	140	-17	17	4188	140	-17	17	4188	140	-17	17	4188	140	-17	17	4188	140	-17	17	4188	140	-17	17	4188	140	-17	17	4188	140	-17	17	4188	140	-17	17	4188	140	-17	17	4188	140	-17	17	4188	140	-17	17	4188	140	-17	17	4188
141	-14	14	4202	141	-14	14	4202	141	-14	14	4202	141	-14	14	4202	141	-14	14	4202	141	-14	14	4202	141	-14	14	4202	141	-14	14	4202	141	-14	14	4202	141	-14	14	4202	141	-14	14	4202	141	-14	14	4202	141	-14	14	4202	141	-14	14	4202	141	-14	14	4202	141	-14	14	4202
142	-19	19	4221	142	-19	19	4221	142	-19	19	4221	142	-19	19	4221	142	-19	19	4221	142	-19	19	4221	142	-19	19	4221	142	-19	19	4221	142	-19	19	4221	142	-19	19	4221	142	-19	19	4221	142	-19	19	4221	142	-19	19	4221	142	-19	19	4221	142	-19	19	4221	142	-19	19	4221
143	-15	15	4236	143	-15	15	4236	143	-15	15	4236	143	-15	15	4236	143	-15	15	4236	143	-15	15	4236	143	-15	15	4236	143	-15	15	4236	143	-15	15	4236	143	-15	15	4236	143	-15	15	4236	143	-15	15	4236	143	-15	15	4236	143	-15	15	4236	143	-15	15	4236	143	-15	15	4236
144	-15	15	4251	144	-15	15	4251	144	-15	15	4251	144	-15	15	4251	144	-15	15	4251	144	-15	15	4251	144	-15	15	4251	144	-15	15	4251	144	-15	15	4251	144	-15	15	4251	144	-15	15	4251	144	-15	15	4251	144	-15	15	4251	144	-15	15	4251	144	-15	15	4251	144	-15	15	4251
145	-13	13	4264	145	-13	13	4264	145	-13	13	4264	145	-13	13	4264	145	-13	13	4264	145	-13	13	4264	145	-13	13	4264	145	-13	13	4264	145	-13	13	4264	145	-13	13	4264	145	-13	13	4264	145	-13	13	4264	145	-13	13	4264	145	-13	13	4264	145	-13	13	4264	145	-13	13	4264
146	-17	17	4281	146	-17	17	4281	146	-17	17	4281	146	-17	17	4281	146	-17	17	4281	146	-17	17	4281	146	-17	17	4281	146	-17	17	4281	146	-17	17	4281	146	-17	17	4281	146	-17	17	4281	146	-17	17	4281	146	-17	17	4281	146	-17	17	4281	146	-17	17	4281	146	-17	17	4281
147	-117	18	4299	147	-117	18	4299	147	-117	18	4299	147	-117	18	4299	147	-117	18	4299	147	-117	18	4299	147	-117	18	4299	147	-117	18	4299	147	-117	18	4299	147	-117	18	4299	147	-117	18	4299	147	-117	18	4299	147	-117	18	4299	147	-117	18	4299	147	-117	18	4299	147	-117	18	4299
148	-15	15	4314	148	-15	15	4314	148	-15	15	4314	148	-15	15	4314	148	-15	15	4314	148	-15	15	4314	148	-15	15	4314	148	-15	15	4314	148	-15	15	4314	148	-15	15	4314	148	-15	15	4314	148	-15	15	4314	148	-15	15	4314	148	-15	15	4314	148	-15	15	4314	148	-15	15	4314
149	-15	15	4329	149	-15	15	4329	149	-15	15	4329	149	-15	15	4329	149	-15	15	4329	149	-15	15	4329	149	-15	15	4329	149	-15	15	4329	149	-15	15	4329	149	-15	15	4329	149	-15	15	4329	149	-15	15	4329	149	-15	15	4329	149	-15	15	4329	149	-15	15	4329	149	-15	15	4329
150	-19	19	4348	150	-19	19	4348	150	-19	19	4348	150	-19	19	4348	150	-19	19	4348	150	-19	19	4348	150	-19	19	4348	150	-19	19	4348	150	-19	19	4348	150	-19	19	4348	150	-19	19	4348	150	-19	19	4348	150	-19	19	4348	150	-19	19	4348	150	-19	19	4348	150	-19	19	4348
151	-13	13	4361	151	-13	13	4361	151	-13	13	4361	151	-13	13	4361	151	-13	13	4361	151	-13	13	4361	151	-13	13	4361	151	-13	13	4361	151	-13	13	4361	151	-13	13	4361	151	-13	13	4361	151	-13	13	4361	151	-13	13	4361	151	-13	13	4361	151	-13	13	4361	151	-13	13	4361
152	-436	40	4401	152	-436	40	4401	152	-436	40	4401	152	-436	40	4401	152	-436	40	4401	152	-436	40	4401	152	-436	40	4401	152	-436	40	4401	152	-436	40	4401	152	-436	40	4401	152	-436	40	4401	152	-436	40	4401	152	-436	40	4401	152	-436	40	4401	152	-436	40	4401	152	-436	40	4401
153	-21	21	4422	153	-21	21	4422	153	-21	21	4422	153	-21	21	4422	153	-21	21	4422	153	-21	21	4422	153	-21	21	4422	153	-21	21	4422	153	-21	21	4422	153	-21	21	4422	153	-21	21	4422	153	-21	21	4422	153	-21	21	4422	153	-21	21	4422	153	-21	21	4422	153	-21	21	4422
154	-115	16	4438	154	-115	16	4438	154	-115	16	4438	154	-115	16	4438	154	-115	16	4438	154	-115	16	4438	154	-115	16	4438	154	-115	16	4438	154	-115	16	4438	154	-115	16	4438	154	-115	16	4438	154	-115	16	4438	154	-115	16	4438	154	-115	16	4438	154	-115	16	4438	154	-115	16	4438
155	-18	18	4456	155	-18	18	4456	155	-18	18	4456	155	-18	18	4456	155	-18	18	4456	155	-18	18	4456	155	-18	18	4456	155	-18	18	4456	155	-18	18	4456	155	-18	18	4456	155	-18	18	4456	155	-18	18	4456	155	-18	18	4456	155	-18	18	4456	155	-18	18	4456	155	-18	18	4456
156	-15	15	4471	156	-15	15	4471	156	-15	15	4471	156	-15	15	4471	156	-15	15	4471	156	-15	15	4471	156	-15	15	4471	156	-15	15	4471	156	-15	15	4471	156	-15	15	4471	156	-15	15	4471	156	-15	15	4471	156	-15	15	4471	156	-15	15	4471	156	-15	15	4471	156	-15	15	4471
157	-13	13	4484	157	-13	13	4484	157	-13	13	4484	157	-13	13	4484	157	-13	13	4484	157	-13	13	4484	157	-13	13	4484	157	-13	13	4484	157	-13	13	4484	157	-13	13	4484	157	-13	13	4484	157	-13	13	4484	157	-13	13	4484	157	-13	13	4484	157	-13	13	4484	157	-13	13	4484
158	-19	19	4503	158	-19	19	4503	158	-19	19	4503	158	-19	19	4503	158	-19	19	4503	158	-19	19	4503	158	-19	19	4503	158	-19	19	4503	158	-19	19	4503	158	-19	19	4503	158	-19	19	4503	158	-19	19	4503	158	-19	19	4503	158	-19	19	4503	158	-19	19	4503	158	-19	19	4503
