Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
18	-48	48	1707	18	-48	48	1707	18	-48	48	1707	18	-48	48	1707	18	-48	48	1707	18	-48	48	1707	18	-48	48	1707	18	-48	48	1707	18	-48	48	1707	18	-48	48	1707	18	-48	48	1707	18	-48	48	1707	18	-48	48	1707	18	-48	48	1707	18	-48	48	1707	18	-48	48	1707
19	-34	34	1741	19	-34	34	1741	19	-34	34	1741	19	-34	34	1741	19	-34	34	1741	19	-34	34	1741	19	-34	34	1741	19	-34	34	1741	19	-34	34	1741	19	-34	34	1741	19	-34	34	1741	19	-34	34	1741	19	-34	34	1741	19	-34	34	1741	19	-34	34	1741	19	-34	34	1741
20	-30	30	1771	20	-30	30	1771	20	-30	30	1771	20	-30	30	1771	20	-30	30	1771	20	-30	30	1771	20	-30	30	1771	20	-30	30	1771	20	-30	30	1771	20	-30	30	1771	20	-30	30	1771	20	-30	30	1771	20	-30	30	1771	20	-30	30	1771	20	-30	30	1771	20	-30	30	1771
21	-36	36	1807	21	-36	36	1807	21	-36	36	1807	21	-36	36	1807	21	-36	36	1807	21	-36	36	1807	21	-36	36	1807	21	-36	36	1807	21	-36	36	1807	21	-36	36	1807	21	-36	36	1807	21	-36	36	1807	21	-36	36	1807	21	-36	36	1807	21	-36	36	1807	21	-36	36	1807
22	-44	44	1851	22	-44	44	1851	22	-44	44	1851	22	-44	44	1851	22	-44	44	1851	22	-44	44	1851	22	-44	44	1851	22	-44	44	1851	22	-44	44	1851	22	-44	44	1851	22	-44	44	1851	22	-44	44	1851	22	-44	44	1851	22	-44	44	1851	22	-44	44	1851	22	-44	44	1851
23	-17	17	1868	23	-17	17	1868	23	-17	17	1868	23	-17	17	1868	23	-17	17	1868	23	-17	17	1868	23	-17	17	1868	23	-17	17	1868	23	-17	17	1868	23	-17	17	1868	23	-17	17	1868	23	-17	17	1868	23	-17	17	1868	23	-17	17	1868	23	-17	17	1868	23	-17	17	1868
24	-43	43	1911	24	-43	43	1911	24	-43	43	1911	24	-43	43	1911	24	-43	43	1911	24	-43	43	1911	24	-43	43	1911	24	-43	43	1911	24	-43	43	1911	24	-43	43	1911	24	-43	43	1911	24	-43	43	1911	24	-43	43	1911	24	-43	43	1911	24	-43	43	1911	24	-43	43	1911
25	-31	31	1942	25	-31	31	1942	25	-31	31	1942	25	-31	31	1942	25	-31	31	1942	25	-31	31	1942	25	-31	31	1942	25	-31	31	1942	25	-31	31	1942	25	-31	31	1942	25	-31	31	1942	25	-31	31	1942	25	-31	31	1942	25	-31	31	1942	25	-31	31	1942	25	-31	31	1942
26	-30	30	1972	26	-30	30	1972	26	-30	30	1972	26	-30	30	1972	26	-30	30	1972	26	-30	30	1972	26	-30	30	1972	26	-30	30	1972	26	-30	30	1972	26	-30	30	1972	26	-30	30	1972	26	-30	30	1972	26	-30	30	1972	26	-30	30	1972	26	-30	30	1972	26	-30	30	1972
27	-29	29	2001	27	-29	29	2001	27	-29	29	2001	27	-29	29	2001	27	-29	29	2001	27	-29	29	2001	27	-29	29	2001	27	-29	29	2001	27	-29	29	2001	27	-29	29	2001	27	-29	29	2001	27	-29	29	2001	27	-29	29	2001	27	-29	29	2001	27	-29	29	2001	27	-29	29	2001
28	-33	33	2034	28	-33	33	2034	28	-33	33	2034	28	-33	33	2034	28	-33	33	2034	28	-33	33	2034	28	-33	33	2034	28	-33	33	2034	28	-33	33	2034	28	-33	33	2034	28	-33	33	2034	28	-33	33	2034	28	-33	33	2034	28	-33	33	2034	28	-33	33	2034	28	-33	33	2034
29	-31	31	2065	29	-31	31	2065	29	-31	31	2065	29	-31	31	2065	29	-31	31	2065	29	-31	31	2065	29	-31	31	2065	29	-31	31	2065	29	-31	31	2065	29	-31	31	2065	29	-31	31	2065	29	-31	31	2065	29	-31	31	2065	29	-31	31	2065	29	-31	31	2065	29	-31	31	2065
30	-26	26	2091	30	-26	26	2091	30	-26	26	2091	30	-26	26	2091	30	-26	26	2091	30	-26	26	2091	30	-26	26	2091	30	-26	26	2091	30	-26	26	2091	30	-26	26	2091	30	-26	26	2091	30	-26	26	2091	30	-26	26	2091	30	-26	26	2091	30	-26	26	2091	30	-26	26	2091
31	-26	26	2117	31	-26	26	2117	31	-26	26	2117	31	-26	26	2117	31	-26	26	2117	31	-26	26	2117	31	-26	26	2117	31	-26	26	2117	31	-26	26	2117	31	-26	26	2117	31	-26	26	2117	31	-26	26	2117	31	-26	26	2117	31	-26	26	2117	31	-26	26	2117	31	-26	26	2117
32	-148	49	2166	32	-148	49	2166	32	-148	49	2166	32	-148	49	2166	32	-148	49	2166	32	-148	49	2166	32	-148	49	2166	32	-148	49	2166	32	-148	49	2166	32	-148	49	2166	32	-148	49	2166	32	-148	49	2166	32	-148	49	2166	32	-148	49	2166	32	-148	49	2166	32	-148	49	2166
33	-16	16	2182	33	-16	16	2182	33	-16	16	2182	33	-16	16	2182	33	-16	16	2182	33	-16	16	2182	33	-16	16	2182	33	-16	16	2182	33	-16	16	2182	33	-16	16	2182	33	-16	16	2182	33	-16	16	2182	33	-16	16	2182	33	-16	16	2182	33	-16	16	2182	33	-16	16	2182
34	-46	46	2228	34	-46	46	2228	34	-46	46	2228	34	-46	46	2228	34	-46	46	2228	34	-46	46	2228	34	-46	46	2228	34	-46	46	2228	34	-46	46	2228	34	-46	46	2228	34	-46	46	2228	34	-46	46	2228	34	-46	46	2228	34	-46	46	2228	34	-46	46	2228	34	-46	46	2228
35	-140	41	2269	35	-140	41	2269	35	-140	41	2269	35	-140	41	2269	35	-140	41	2269	35	-140	41	2269	35	-140	41	2269	35	-140	41	2269	35	-140	41	2269	35	-140	41	2269	35	-140	41	2269	35	-140	41	2269	35	-140	41	2269	35	-140	41	2269	35	-140	41	2269	35	-140	41	2269
36	-18	18	2287	36	-18	18	2287	36	-18	18	2287	36	-18	18	2287	36	-18	18	2287	36	-18	18	2287	36	-18	18	2287	36	-18	18	2287	36	-18	18	2287	36	-18	18	2287	36	-18	18	2287	36	-18	18	2287	36	-18	18	2287	36	-18	18	2287	36	-18	18	2287	36	-18	18	2287
