Episode	Accumulated Reward	Length	Steps
265	-195.0	195	42978
266	-126.0	126	43104
267	-133.0	133	43237
268	-127.0	127	43364
269	-114.0	114	43478
270	-116.0	116	43594
271	-161.0	161	43755
272	-91.0	91	43846
273	-114.0	114	43960
274	-144.0	144	44104
275	-109.0	109	44213
276	-152.0	152	44365
277	-122.0	122	44487
278	-119.0	119	44606
279	-86.0	86	44692
280	-136.0	136	44828
281	-171.0	171	44999
282	-113.0	113	45112
283	-116.0	116	45228
284	-118.0	118	45346
285	-120.0	120	45466
286	-116.0	116	45582
287	-105.0	105	45687
288	-84.0	84	45771
289	-116.0	116	45887
290	-96.0	96	45983
291	-147.0	147	46130
292	-112.0	112	46242
293	-158.0	158	46400
294	-86.0	86	46486
295	-89.0	89	46575
296	-147.0	147	46722
297	-100.0	100	46822
298	-91.0	91	46913
299	-98.0	98	47011
