Episode	Accumulated Reward	Length	Steps
298	1.0	2	535
299	0.0	3	538
300	-1.0	3	541
301	-1.0	2	543
302	-1.0	1	544
303	-1.0	2	546
304	-1.0	1	547
305	1.0	1	548
306	-1.0	3	551
307	-1.0	2	553
308	-1.0	2	555
309	1.0	3	558
310	1.0	2	560
311	-1.0	3	563
312	0.0	2	565
313	0.0	2	567
314	1.0	2	569
315	1.0	4	573
316	-1.0	1	574
317	-1.0	2	576
318	1.0	2	578
319	1.0	2	580
320	-1.0	1	581
321	-1.0	1	582
322	-1.0	1	583
323	-1.0	2	585
324	-1.0	1	586
325	-1.0	2	588
326	1.0	3	591
327	-1.0	1	592
328	-1.0	1	593
329	-1.0	2	595
330	-1.0	2	597
331	-1.0	1	598
332	-1.0	1	599
333	-1.0	2	601
334	1.0	2	603
335	1.0	5	608
336	-1.0	1	609
337	-1.0	1	610
338	-1.0	1	611
339	-1.0	3	614
340	-1.0	3	617
341	-1.0	1	618
342	1.0	2	620
343	-1.0	2	622
344	-1.0	2	624
345	-1.0	2	626
346	1.0	3	629
347	0.0	1	630
348	1.0	1	631
349	-1.0	1	632
350	-1.0	1	633
351	-1.0	3	636
352	-1.0	2	638
353	1.0	2	640
354	-1.0	2	642
355	-1.0	3	645
356	-1.0	2	647
357	-1.0	1	648
358	-1.0	2	650
359	-1.0	1	651
360	1.0	2	653
361	-1.0	2	655
362	-1.0	1	656
363	-1.0	3	659
364	-1.0	2	661
365	-1.0	1	662
366	-1.0	1	663
367	-1.0	1	664
368	-1.0	1	665
369	-1.0	2	667
370	-1.0	4	671
371	-1.0	1	672
372	0.0	2	674
373	-1.0	1	675
374	-1.0	1	676
375	-1.0	1	677
376	-1.0	3	680
377	-1.0	2	682
378	-1.0	3	685
379	-1.0	1	686
380	-1.0	1	687
381	-1.0	1	688
382	-1.0	2	690
383	1.0	2	692
384	-1.0	3	695
385	1.0	2	697
386	-1.0	1	698
387	-1.0	1	699
388	-1.0	1	700
389	-1.0	1	701
390	-1.0	3	704
391	1.0	2	706
392	1.0	3	709
393	-1.0	1	710
394	-1.0	1	711
395	-1.0	4	715
396	-1.0	3	718
397	1.0	1	719
398	-1.0	2	721
399	-1.0	2	723
400	-1.0	1	724
401	-1.0	2	726
402	-1.0	1	727
403	1.0	1	728
404	-1.0	1	729
405	-1.0	1	730
406	-1.0	1	731
407	-1.0	2	733
408	-1.0	1	734
409	-1.0	2	736
410	0.0	3	739
411	-1.0	2	741
412	1.0	1	742
413	-1.0	2	744
414	1.0	1	745
415	-1.0	1	746
416	-1.0	1	747
417	-1.0	2	749
418	-1.0	1	750
419	-1.0	2	752
420	1.0	2	754
421	-1.0	2	756
422	-1.0	2	758
423	-1.0	3	761
424	-1.0	1	762
425	1.0	2	764
426	-1.0	4	768
427	-1.0	1	769
428	-1.0	2	771
429	-1.0	1	772
430	-1.0	1	773
431	-1.0	2	775
432	-1.0	2	777
433	-1.0	2	779
434	1.0	1	780
435	1.0	2	782
436	1.0	1	783
437	-1.0	4	787
438	1.0	3	790
439	-1.0	1	791
440	1.0	2	793
441	-1.0	1	794
442	1.0	1	795
443	-1.0	1	796
444	1.0	2	798
445	-1.0	1	799
446	-1.0	2	801
447	-1.0	1	802
448	-1.0	3	805
449	0.0	2	807
450	-1.0	1	808
451	1.0	3	811
452	-1.0	1	812
453	-1.0	1	813
454	-1.0	3	816
455	0.0	2	818
456	1.0	1	819
457	1.0	2	821
458	-1.0	2	823
459	1.0	1	824
460	1.0	2	826
461	-1.0	1	827
462	-1.0	2	829
463	0.0	1	830
464	1.0	2	832
465	-1.0	3	835
466	1.0	2	837
467	1.0	2	839
468	-1.0	2	841
469	-1.0	2	843
470	-1.0	1	844
471	-1.0	3	847
472	-1.0	1	848
473	0.0	3	851
474	-1.0	1	852
475	1.0	3	855
476	-1.0	2	857
477	-1.0	2	859
478	1.0	2	861
479	1.0	5	866
480	1.0	2	868
481	-1.0	2	870
482	-1.0	4	874
483	-1.0	3	877
484	1.0	1	878
485	-1.0	1	879
486	1.0	6	885
487	-1.0	3	888
488	-1.0	1	889
489	1.0	2	891
490	-1.0	1	892
491	-1.0	2	894
492	-1.0	2	896
493	-1.0	1	897
494	0.0	2	899
495	-1.0	1	900
496	-1.0	4	904
497	-1.0	2	906
498	1.0	2	908
499	-1.0	1	909
500	1.0	1	910
501	-1.0	1	911
502	1.0	1	912
503	1.0	2	914
504	-1.0	1	915
505	1.0	1	916
506	-1.0	2	918
507	-1.0	1	919
508	1.0	4	923
509	-1.0	2	925
510	1.0	2	927
511	-1.0	2	929
512	-1.0	1	930
513	-1.0	1	931
514	-1.0	1	932
515	-1.0	1	933
516	-1.0	1	934
517	1.0	2	936
518	1.0	2	938
519	-1.0	1	939
520	1.0	3	942
521	-1.0	2	944
522	1.0	2	946
523	1.0	2	948
524	-1.0	1	949
525	-1.0	2	951
526	1.0	2	953
527	-1.0	1	954
528	-1.0	2	956
529	-1.0	2	958
530	-1.0	3	961
531	1.0	4	965
532	1.0	2	967
533	1.0	1	968
534	-1.0	2	970
535	1.0	2	972
536	-1.0	1	973
537	-1.0	1	974
538	-1.0	1	975
539	-1.0	1	976
540	-1.0	1	977
541	-1.0	1	978
542	-1.0	3	981
543	1.0	1	982
544	-1.0	2	984
545	-1.0	1	985
546	1.0	3	988
547	1.0	1	989
548	-1.0	2	991
549	-1.0	1	992
550	1.0	2	994
551	1.0	1	995
552	-1.0	2	997
553	1.0	2	999
554	-1.0	2	1001
555	-1.0	3	1004
556	1.0	1	1005
557	-1.0	2	1007
558	-1.0	1	1008
559	1.0	2	1010
560	-1.0	3	1013
561	-1.0	3	1016
562	-1.0	1	1017
563	1.0	1	1018
564	1.0	2	1020
565	-1.0	1	1021
566	1.0	1	1022
567	1.0	1	1023
568	-1.0	1	1024
569	-1.0	2	1026
570	-1.0	1	1027
571	-1.0	1	1028
572	1.0	1	1029
573	-1.0	1	1030
574	-1.0	1	1031
575	-1.0	1	1032
576	0.0	4	1036
577	-1.0	1	1037
578	1.0	1	1038
579	-1.0	4	1042
580	1.0	2	1044
581	1.0	1	1045
582	1.0	2	1047
583	-1.0	1	1048
584	-1.0	3	1051
585	1.0	1	1052
586	-1.0	2	1054
587	-1.0	3	1057
588	-1.0	2	1059
589	-1.0	2	1061
590	1.0	3	1064
591	0.0	1	1065
592	-1.0	1	1066
593	-1.0	2	1068
594	-1.0	1	1069
595	-1.0	1	1070
596	-1.0	1	1071
597	-1.0	2	1073
598	1.0	2	1075
599	-1.0	1	1076
600	0.0	1	1077
601	-1.0	2	1079
602	-1.0	1	1080
603	0.0	1	1081
604	1.0	2	1083
605	1.0	2	1085
606	1.0	2	1087
607	1.0	1	1088
608	-1.0	1	1089
609	1.0	2	1091
610	1.0	1	1092
611	-1.0	2	1094
612	-1.0	2	1096
613	-1.0	4	1100
614	1.0	5	1105
615	1.0	1	1106
616	-1.0	1	1107
617	1.0	3	1110
618	-1.0	1	1111
619	-1.0	2	1113
620	-1.0	1	1114
621	-1.0	1	1115
622	1.0	1	1116
623	1.0	1	1117
624	1.0	3	1120
625	-1.0	1	1121
626	-1.0	3	1124
627	-1.0	1	1125
628	-1.0	1	1126
629	-1.0	4	1130
630	-1.0	3	1133
631	-1.0	1	1134
632	1.0	2	1136
633	-1.0	2	1138
634	-1.0	1	1139
635	-1.0	3	1142
636	-1.0	1	1143
637	1.0	3	1146
638	-1.0	1	1147
639	1.0	1	1148
640	1.0	3	1151
641	1.0	2	1153
642	-1.0	2	1155
643	1.0	3	1158
644	1.0	2	1160
645	-1.0	1	1161
646	-1.0	2	1163
647	-1.0	1	1164
648	-1.0	1	1165
649	-1.0	1	1166
650	0.0	1	1167
651	-1.0	2	1169
652	-1.0	3	1172
653	-1.0	2	1174
654	-1.0	1	1175
655	-1.0	2	1177
656	-1.0	2	1179
657	1.0	2	1181
658	-1.0	3	1184
659	-1.0	2	1186
660	-1.0	1	1187
661	1.0	2	1189
662	1.0	2	1191
663	-1.0	3	1194
664	1.0	1	1195
665	1.0	3	1198
666	-1.0	1	1199
667	-1.0	2	1201
668	1.0	2	1203
669	-1.0	3	1206
670	1.0	2	1208
671	0.0	1	1209
672	-1.0	1	1210
673	-1.0	3	1213
674	-1.0	1	1214
675	0.0	1	1215
676	1.0	1	1216
677	-1.0	1	1217
678	-1.0	3	1220
679	-1.0	1	1221
680	1.0	2	1223
681	-1.0	3	1226
682	-1.0	6	1232
683	-1.0	1	1233
684	-1.0	1	1234
685	-1.0	1	1235
686	1.0	2	1237
687	-1.0	1	1238
688	-1.0	1	1239
689	-1.0	2	1241
690	-1.0	3	1244
691	-1.0	2	1246
692	-1.0	3	1249
693	1.0	1	1250
694	1.0	4	1254
695	1.0	1	1255
696	1.0	1	1256
697	-1.0	2	1258
698	1.0	1	1259
699	-1.0	1	1260
700	-1.0	2	1262
701	-1.0	1	1263
702	-1.0	1	1264
703	-1.0	3	1267
704	1.0	1	1268
705	-1.0	1	1269
706	1.0	1	1270
707	-1.0	2	1272
708	-1.0	3	1275
709	-1.0	1	1276
710	-1.0	1	1277
711	-1.0	1	1278
712	1.0	1	1279
713	-1.0	3	1282
714	-1.0	1	1283
715	1.0	1	1284
716	0.0	3	1287
717	-1.0	3	1290
718	1.0	2	1292
719	-1.0	4	1296
720	0.0	2	1298
721	-1.0	1	1299
722	-1.0	1	1300
723	0.0	4	1304
724	1.0	2	1306
725	-1.0	3	1309
726	-1.0	3	1312
727	-1.0	2	1314
728	-1.0	1	1315
729	-1.0	1	1316
730	-1.0	2	1318
731	1.0	1	1319
732	1.0	1	1320
733	1.0	3	1323
734	1.0	2	1325
735	1.0	1	1326
736	-1.0	2	1328
737	-1.0	1	1329
738	1.0	1	1330
739	-1.0	1	1331
740	-1.0	1	1332
741	1.0	2	1334
742	1.0	4	1338
743	-1.0	1	1339
744	1.0	1	1340
745	-1.0	2	1342
746	-1.0	3	1345
747	-1.0	1	1346
748	-1.0	2	1348
749	1.0	1	1349
750	-1.0	2	1351
751	1.0	4	1355
752	1.0	1	1356
753	-1.0	2	1358
754	-1.0	1	1359
755	-1.0	3	1362
756	0.0	2	1364
757	-1.0	2	1366
758	-1.0	1	1367
759	-1.0	1	1368
760	-1.0	1	1369
761	1.0	2	1371
762	-1.0	1	1372
763	1.0	1	1373
764	-1.0	3	1376
765	-1.0	1	1377
766	0.0	3	1380
767	1.0	1	1381
768	-1.0	1	1382
769	-1.0	2	1384
770	-1.0	2	1386
771	1.0	1	1387
772	1.0	2	1389
773	-1.0	1	1390
774	-1.0	1	1391
775	1.0	4	1395
776	1.0	2	1397
777	-1.0	2	1399
778	-1.0	1	1400
779	1.0	1	1401
780	1.0	2	1403
781	0.0	2	1405
782	-1.0	1	1406
783	-1.0	1	1407
784	-1.0	1	1408
785	1.0	2	1410
786	1.0	3	1413
787	-1.0	1	1414
788	1.0	1	1415
789	-1.0	1	1416
790	-1.0	3	1419
791	-1.0	2	1421
792	-1.0	1	1422
793	1.0	2	1424
794	1.0	2	1426
795	1.0	2	1428
796	-1.0	2	1430
797	-1.0	2	1432
798	-1.0	1	1433
799	-1.0	2	1435
800	-1.0	1	1436
801	-1.0	2	1438
802	-1.0	1	1439
803	-1.0	2	1441
804	-1.0	2	1443
805	-1.0	1	1444
806	1.0	3	1447
807	-1.0	2	1449
808	1.0	3	1452
809	1.0	1	1453
810	-1.0	2	1455
811	-1.0	4	1459
812	-1.0	3	1462
813	-1.0	1	1463
814	-1.0	2	1465
815	1.0	4	1469
816	-1.0	1	1470
817	1.0	1	1471
818	-1.0	3	1474
819	1.0	2	1476
820	1.0	1	1477
821	-1.0	2	1479
822	-1.0	2	1481
823	-1.0	1	1482
824	-1.0	1	1483
825	1.0	4	1487
826	-1.0	2	1489
827	1.0	4	1493
828	-1.0	3	1496
829	-1.0	2	1498
830	1.0	2	1500
831	1.0	1	1501
832	1.0	1	1502
833	-1.0	1	1503
834	-1.0	2	1505
835	0.0	3	1508
836	-1.0	1	1509
837	1.0	2	1511
838	1.0	2	1513
839	1.0	1	1514
840	1.0	3	1517
841	-1.0	1	1518
842	-1.0	1	1519
843	-1.0	1	1520
844	-1.0	2	1522
845	-1.0	1	1523
846	1.0	1	1524
847	1.0	1	1525
848	0.0	2	1527
849	-1.0	1	1528
850	1.0	3	1531
851	-1.0	2	1533
852	1.0	2	1535
853	1.0	1	1536
854	0.0	1	1537
855	0.0	1	1538
856	-1.0	1	1539
857	-1.0	2	1541
858	-1.0	1	1542
859	-1.0	2	1544
860	-1.0	1	1545
861	-1.0	2	1547
862	1.0	2	1549
863	-1.0	2	1551
864	1.0	2	1553
865	-1.0	2	1555
866	-1.0	3	1558
867	1.0	1	1559
868	1.0	1	1560
869	-1.0	2	1562
870	1.0	2	1564
871	-1.0	1	1565
872	-1.0	1	1566
873	-1.0	1	1567
874	1.0	1	1568
875	1.0	2	1570
876	-1.0	3	1573
877	-1.0	4	1577
878	-1.0	1	1578
879	-1.0	2	1580
880	1.0	1	1581
881	1.0	1	1582
882	-1.0	1	1583
883	-1.0	3	1586
884	-1.0	2	1588
885	-1.0	2	1590
886	1.0	1	1591
887	0.0	1	1592
888	-1.0	4	1596
889	-1.0	1	1597
890	-1.0	2	1599
891	-1.0	1	1600
892	1.0	2	1602
893	-1.0	1	1603
894	-1.0	1	1604
895	-1.0	2	1606
896	-1.0	2	1608
897	-1.0	1	1609
898	0.0	1	1610
899	-1.0	2	1612
900	-1.0	2	1614
901	-1.0	3	1617
902	-1.0	1	1618
903	-1.0	2	1620
904	0.0	2	1622
905	0.0	6	1628
906	-1.0	1	1629
907	1.0	4	1633
908	-1.0	1	1634
909	-1.0	2	1636
910	-1.0	2	1638
911	1.0	2	1640
912	-1.0	1	1641
913	-1.0	3	1644
914	-1.0	2	1646
915	-1.0	2	1648
916	-1.0	2	1650
917	-1.0	1	1651
918	1.0	1	1652
919	1.0	1	1653
920	-1.0	1	1654
921	-1.0	2	1656
922	-1.0	4	1660
923	1.0	1	1661
924	-1.0	2	1663
925	-1.0	4	1667
926	-1.0	3	1670
927	1.0	2	1672
928	-1.0	3	1675
929	-1.0	3	1678
930	1.0	2	1680
931	0.0	1	1681
932	1.0	1	1682
933	-1.0	2	1684
934	1.0	5	1689
935	1.0	2	1691
936	1.0	2	1693
937	1.0	1	1694
938	-1.0	2	1696
939	1.0	1	1697
940	-1.0	2	1699
941	1.0	3	1702
942	-1.0	1	1703
943	-1.0	2	1705
944	-1.0	2	1707
945	-1.0	2	1709
946	1.0	3	1712
947	1.0	3	1715
948	-1.0	1	1716
949	0.0	2	1718
950	-1.0	1	1719
951	-1.0	2	1721
952	-1.0	2	1723
953	-1.0	2	1725
954	-1.0	1	1726
955	-1.0	1	1727
956	1.0	1	1728
957	1.0	2	1730
958	-1.0	2	1732
959	1.0	3	1735
960	1.0	2	1737
961	1.0	2	1739
962	-1.0	3	1742
963	-1.0	2	1744
964	0.0	2	1746
965	-1.0	1	1747
966	-1.0	2	1749
967	-1.0	1	1750
968	-1.0	2	1752
969	1.0	1	1753
970	1.0	2	1755
971	1.0	1	1756
972	-1.0	1	1757
973	-1.0	3	1760
974	1.0	2	1762
975	-1.0	1	1763
976	-1.0	1	1764
977	-1.0	1	1765
978	-1.0	2	1767
979	-1.0	2	1769
980	1.0	3	1772
981	1.0	3	1775
982	-1.0	2	1777
983	-1.0	3	1780
984	-1.0	2	1782
985	-1.0	3	1785
986	-1.0	2	1787
987	-1.0	2	1789
988	-1.0	1	1790
989	1.0	1	1791
990	-1.0	1	1792
991	-1.0	2	1794
992	-1.0	3	1797
993	-1.0	3	1800
994	-1.0	1	1801
995	-1.0	1	1802
996	-1.0	1	1803
997	-1.0	2	1805
998	-1.0	2	1807
999	-1.0	1	1808
1000	-1.0	1	1809
1001	-1.0	2	1811
1002	1.0	2	1813
1003	1.0	3	1816
1004	-1.0	1	1817
1005	-1.0	1	1818
1006	1.0	1	1819
1007	1.0	3	1822
1008	0.0	2	1824
1009	-1.0	2	1826
1010	-1.0	4	1830
1011	1.0	3	1833
1012	1.0	1	1834
1013	1.0	1	1835
1014	1.0	1	1836
1015	1.0	1	1837
1016	1.0	1	1838
1017	1.0	2	1840
1018	-1.0	1	1841
1019	-1.0	2	1843
1020	-1.0	2	1845
1021	1.0	1	1846
1022	1.0	2	1848
1023	-1.0	3	1851
1024	1.0	4	1855
1025	-1.0	2	1857
1026	-1.0	1	1858
1027	-1.0	2	1860
1028	-1.0	1	1861
1029	-1.0	2	1863
1030	-1.0	1	1864
1031	-1.0	1	1865
1032	-1.0	1	1866
1033	-1.0	1	1867
1034	-1.0	1	1868
1035	1.0	1	1869
1036	-1.0	3	1872
1037	-1.0	1	1873
1038	-1.0	2	1875
1039	-1.0	2	1877
1040	-1.0	1	1878
1041	-1.0	2	1880
1042	-1.0	1	1881
1043	-1.0	1	1882
1044	-1.0	1	1883
1045	0.0	1	1884
1046	-1.0	3	1887
1047	1.0	2	1889
1048	-1.0	3	1892
1049	-1.0	3	1895
1050	-1.0	2	1897
1051	1.0	3	1900
1052	-1.0	2	1902
1053	-1.0	1	1903
1054	-1.0	1	1904
1055	-1.0	1	1905
1056	1.0	2	1907
1057	-1.0	1	1908
1058	-1.0	1	1909
1059	1.0	2	1911
1060	-1.0	4	1915
1061	-1.0	1	1916
1062	-1.0	2	1918
1063	-1.0	1	1919
1064	1.0	1	1920
1065	-1.0	2	1922
1066	-1.0	1	1923
1067	-1.0	1	1924
1068	0.0	1	1925
1069	-1.0	1	1926
1070	1.0	3	1929
1071	-1.0	5	1934
1072	0.0	2	1936
1073	1.0	2	1938
1074	-1.0	2	1940
1075	1.0	2	1942
1076	1.0	3	1945
1077	0.0	1	1946
1078	-1.0	1	1947
1079	-1.0	2	1949
1080	-1.0	2	1951
1081	1.0	3	1954
1082	-1.0	3	1957
1083	-1.0	1	1958
1084	-1.0	1	1959
1085	-1.0	3	1962
1086	1.0	1	1963
1087	0.0	1	1964
1088	-1.0	3	1967
1089	1.0	1	1968
1090	-1.0	2	1970
1091	-1.0	2	1972
1092	-1.0	3	1975
1093	1.0	1	1976
1094	1.0	2	1978
1095	-1.0	1	1979
1096	-1.0	2	1981
1097	-1.0	2	1983
1098	-1.0	1	1984
1099	-1.0	2	1986
1100	-1.0	1	1987
1101	-1.0	1	1988
1102	-1.0	3	1991
1103	-1.0	1	1992
1104	-1.0	2	1994
1105	-1.0	1	1995
1106	0.0	2	1997
1107	-1.0	1	1998
1108	-1.0	1	1999
1109	-1.0	3	2002
1110	0.0	1	2003
1111	1.0	1	2004
1112	1.0	2	2006
1113	-1.0	2	2008
1114	-1.0	1	2009
1115	-1.0	2	2011
1116	-1.0	3	2014
1117	1.0	1	2015
1118	1.0	1	2016
1119	-1.0	1	2017
1120	1.0	1	2018
1121	1.0	1	2019
1122	1.0	1	2020
1123	0.0	1	2021
1124	-1.0	3	2024
1125	-1.0	1	2025
1126	1.0	2	2027
1127	-1.0	1	2028
1128	-1.0	1	2029
1129	-1.0	1	2030
1130	-1.0	3	2033
1131	-1.0	1	2034
1132	-1.0	2	2036
1133	1.0	2	2038
1134	-1.0	4	2042
1135	-1.0	1	2043
1136	1.0	3	2046
1137	-1.0	1	2047
1138	-1.0	2	2049
1139	-1.0	2	2051
1140	-1.0	1	2052
1141	1.0	1	2053
1142	-1.0	1	2054
1143	-1.0	2	2056
1144	-1.0	4	2060
1145	-1.0	1	2061
1146	-1.0	3	2064
1147	-1.0	1	2065
1148	-1.0	3	2068
1149	-1.0	2	2070
1150	1.0	3	2073
1151	-1.0	2	2075
1152	1.0	1	2076
1153	1.0	1	2077
1154	1.0	3	2080
1155	-1.0	1	2081
1156	1.0	2	2083
1157	-1.0	1	2084
1158	1.0	1	2085
1159	-1.0	2	2087
