Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
30	-158	59	2228	30	-158	59	2228	30	-158	59	2228	30	-158	59	2228	30	-158	59	2228	30	-158	59	2228	30	-158	59	2228	30	-158	59	2228	30	-158	59	2228	30	-158	59	2228
31	-37	37	2265	31	-37	37	2265	31	-37	37	2265	31	-37	37	2265	31	-37	37	2265	31	-37	37	2265	31	-37	37	2265	31	-37	37	2265	31	-37	37	2265	31	-37	37	2265
32	-18	18	2283	32	-18	18	2283	32	-18	18	2283	32	-18	18	2283	32	-18	18	2283	32	-18	18	2283	32	-18	18	2283	32	-18	18	2283	32	-18	18	2283	32	-18	18	2283
33	-14	14	2297	33	-14	14	2297	33	-14	14	2297	33	-14	14	2297	33	-14	14	2297	33	-14	14	2297	33	-14	14	2297	33	-14	14	2297	33	-14	14	2297	33	-14	14	2297
34	-27	27	2324	34	-27	27	2324	34	-27	27	2324	34	-27	27	2324	34	-27	27	2324	34	-27	27	2324	34	-27	27	2324	34	-27	27	2324	34	-27	27	2324	34	-27	27	2324
35	-24	24	2348	35	-24	24	2348	35	-24	24	2348	35	-24	24	2348	35	-24	24	2348	35	-24	24	2348	35	-24	24	2348	35	-24	24	2348	35	-24	24	2348	35	-24	24	2348
36	-21	21	2369	36	-21	21	2369	36	-21	21	2369	36	-21	21	2369	36	-21	21	2369	36	-21	21	2369	36	-21	21	2369	36	-21	21	2369	36	-21	21	2369	36	-21	21	2369
37	-17	17	2386	37	-17	17	2386	37	-17	17	2386	37	-17	17	2386	37	-17	17	2386	37	-17	17	2386	37	-17	17	2386	37	-17	17	2386	37	-17	17	2386	37	-17	17	2386
38	-36	36	2422	38	-36	36	2422	38	-36	36	2422	38	-36	36	2422	38	-36	36	2422	38	-36	36	2422	38	-36	36	2422	38	-36	36	2422	38	-36	36	2422	38	-36	36	2422
39	-15	15	2437	39	-15	15	2437	39	-15	15	2437	39	-15	15	2437	39	-15	15	2437	39	-15	15	2437	39	-15	15	2437	39	-15	15	2437	39	-15	15	2437	39	-15	15	2437
40	-114	15	2452	40	-114	15	2452	40	-114	15	2452	40	-114	15	2452	40	-114	15	2452	40	-114	15	2452	40	-114	15	2452	40	-114	15	2452	40	-114	15	2452	40	-114	15	2452
41	-23	23	2475	41	-23	23	2475	41	-23	23	2475	41	-23	23	2475	41	-23	23	2475	41	-23	23	2475	41	-23	23	2475	41	-23	23	2475	41	-23	23	2475	41	-23	23	2475
42	-128	29	2504	42	-128	29	2504	42	-128	29	2504	42	-128	29	2504	42	-128	29	2504	42	-128	29	2504	42	-128	29	2504	42	-128	29	2504	42	-128	29	2504	42	-128	29	2504
43	-131	32	2536	43	-131	32	2536	43	-131	32	2536	43	-131	32	2536	43	-131	32	2536	43	-131	32	2536	43	-131	32	2536	43	-131	32	2536	43	-131	32	2536	43	-131	32	2536
